Authors;Article Title;Source Title;DOI;Document Type;Publication Year;Abstract;ISSN;eISSN
"Huang, Ying; Zhou, Ying; Chen, Jihe; Wu, Danyan";Applying Machine Learning and SHAP Method to Identify Key Influences on Middle-School Students' Mathematics Literacy Performance;JOURNAL OF INTELLIGENCE;10.3390/jintelligence12100093;Article;2024;The PISA 2022 literacy assessment highlights a significant decline in math performance among most OECD countries, with the magnitude of this decline being approximately three times that of the previous round. Remarkably, Hong Kong, Macao, Taipei, Singapore, Japan, and Korea ranked in the top six among all participating countries or economies, with Taipei, Singapore, Japan, and Korea also demonstrating improved performance. Given the widespread concern about the factors influencing secondary-school students' mathematical literacy, this paper adopts machine learning and the SHapley Additive exPlanations (SHAP) method to analyze 34,968 samples and 151 features from six East Asian education systems within the PISA 2022 dataset, aiming to pinpoint the crucial factors that affect middle-school students' mathematical literacy. First, the XGBoost model has the highest prediction accuracy for math literacy performance. Second, 15 variables were identified as significant predictors of mathematical literacy across the student population, particularly variables such as mathematics self-efficacy (MATHEFF) and expected occupational status (BSMJ). Third, mathematics self-efficacy was determined to be the most influential factor. Fourth, the factors influencing mathematical literacy vary among individual students, including the key influencing factors, the direction (positive or negative) of their impact, and the extent of this influence. Finally, based on our findings, four recommendations are proffered to enhance the mathematical literacy performance of secondary-school students.;;2079-3200
"Wiyantara, A.; Widodo, A.; Prima, E. C.";Identify students' conception and level of representations using five-tier test on wave concepts;INTERNATIONAL CONFERENCE ON MATHEMATICS AND SCIENCE EDUCATION (ICMSCE) 2020;10.1088/1742-6596/1806/1/012137;Proceedings Paper;2021;This study aims to identify students' conception and their level of representation on wave concepts. This is descriptive research. Data were collected through a five-tiers instrument test. Subjects in this study were thirty 9th grades in one of Junior High School in Bandung. The results of the study show that there are many students who lack knowledge and misconceptions. Students' visual representation in wave concepts in real life is only at the macroscopic level. Their drawing in connecting phenomena and real-life also have some errors. Multiple representations-based learning is needed to facilitate students changing their conceptions into scientific and deep conceptions, which not only focus on representations modal such as verbal, picture, mathematic, and graph, but also level of representations, such as macroscopic, microscopic, sub-microscopic and symbolic.;1742-6588;1742-6596
"Zeng, Yu; Xu, Xing";The Construction and Optimization of an AI Education Evaluation Indicator Based on Intelligent Algorithms;INTERNATIONAL JOURNAL OF COGNITIVE INFORMATICS AND NATURAL INTELLIGENCE;10.4018/IJCINI.315275;Article;2022;The basic tool in the analytic hierarchy process (AHP) is the complete judgment matrix. To address the weakness of the AHP in determining weight in the comprehensive evaluation system, the particle swarm optimization (PSO)-AHP model proposed in this paper is based on the PSO in the meta-heuristic algorithm. The model was used to solve the indicator weights in the evaluation system of AI education in primary and secondary schools in Fujian Province and was compared with the genetic algorithm and war strategy optimization algorithm. From the comparison results, the PSO-AHP optimization is more effective among the three algorithms, and the indicator consistency can be improved by about 30%. They are both effective in solving the problem that once the judgment matrix is given in the AHP, the weights and indicator consistency cannot be improved. Finally, the results were tested by Friedman statistics to prove the viability of the proposed algorithm.;1557-3958;1557-3966
"Oktaviani, Ni Komang Chika; Prastika, Ari; Fajaroh, Fauziatul; Suharti, Suharti";Incorporation of Polya's Problem Solving into Process Guide Inquiry in Learning Buffer Solution;3RD INTERNATIONAL CONFERENCE ON MATHEMATICS AND SCIENCE EDUCATION (ICOMSE) 2019: STRENGTHENING MATHEMATICS AND SCIENCE EDUCATION RESEARCH FOR THE CHALLENGE OF GLOBAL SOCIETY;10.1063/5.0000692;Proceedings Paper;2020;POGIL had been shown to be one superior learning model in science education including chemistry education and it match with mandatory learning approach in current Indonesian High school curriculum. The effect of POGIL in learning result was somehow vary in many studied. One problem found in our observation, students were not able to apply their new knowledge at application step of POGIL model. This paper reports our effort to improve student's cognitive learning outcome in learning buffer solution by modifying POGIL at application step. Buffer solution is one part of chemistry at high school of which students had difficulties in understanding it. In learning buffer, it requires ability in conceptual understanding and algorithmic problem solving. Polya's problem solving method has known as one powerful problem solving model in mathematics. We had modified POGIL by incorporating Polya's problem solving steps at application step of POGIL and implemented the model in learning buffer solution. Although only 50% student passed the school passing grade in experimental class, the modified model seem superior compared to original POGIL. In control class only 16% students passed the school passing grade. The mean rank value in the Maim-Whitney test in the experimental class (46.61) was higher than the control class (26.39). Therefore, modified POGIL was proven to be better model in learning buffer solution. This study was done in a short period of learning buffer solution. In order to get higher cognitive outcome in learning chemistry, longer observation must be carried out until students accustom with the modified POGIL.;0094-243X;
"Hao, Miaomiao; Wang, Yi; Peng, Jun";Empirical Research on AI Technology-Supported Precision Teaching in High School Science Subjects;APPLIED SCIENCES-BASEL;10.3390/app14177544;Article;2024;"The empowerment of educational reform and innovation through AI technology has become a topic of increasing interest in the field of education. The advent of AI technology has made comprehensive and in-depth teaching evaluation possible, serving as a significant driving force for efficient and precise teaching. There were few empirical studies on the application of high-quality precision teaching models in the field of compulsory education, and the learning difficulty of technology and the teaching burden on teachers have become significant factors hindering the use of technology to support education. This study analyzed teaching models from the perspectives of teachers' teaching burdens and students' learning obstacles, and was committed to relying on intelligent technology to construct a new precision teaching model, an educational diagnosis-feedback-intervention path that covered the entire teaching process, from the dimensions of teacher behavior, student behavior, and parent behavior, aiming to assist teachers in efficient teaching and students in personalized learning. This study was conducted with nine science classes, including about 540 people in the second year of high school at a Middle School in China; six classes were the intervention groups while the last three classes were control groups, and a survey of 19 teachers from the intervention classes was carried out. The results showed that this model can significantly improve students' academic performance in science subjects, especially in mathematics and chemistry. It has increased the proportion of high-achieving students, reduced the proportion of low-achieving students, stimulated students' self-directed learning ability, cultivated a positive attitude towards science learning, and explained the key points of using a precision teaching model in different disciplines. It has achieved a deep integration of education and technology, helping to increase the efficiency and reduce the burden of teaching.";;2076-3417
"Liang, Ziyu; Chen, Jun";An Al-BERT-Bi-GRU-LDA algorithm for negative sentiment analysis on Bilibili comments;PEERJ COMPUTER SCIENCE;10.7717/peerj-cs.2029;Article;2024;The number of online self-learning users has been increasing due to the promotion of various lifelong learning programs. Unstructured commentary text related to their real learning experience regarding the learning process is generally published by users to show their opinions and complaints. The article aims to utilize the dataset of real text comments of 10 high school mathematics courses participated by high school students in the Bilibili platform and construct a hybrid algorithm called the Artificial Intelligence-Bidirectional Encoder Representations from Transformers (BERT) + Bidirectional Gated Recurrent Unit (BiGRU) and linear discriminant analysis (LDA) to crunch data and extract their sentiments. A series of tests regarding algorithm comparison were conducted on the educational review datasets. Comparative analysis found that the proposed algorithm achieves higher precision and lower loss rates than other alternative algorithms. Meanwhile, the loss ratio of the proposed algorithm was kept at a low level. At the topic mining level, the topic clustering of negative comments found that the barrage content was very messy and the complexity of the course content was generally reported by the students. Some problems related to videos were also mentioned. The outcomes are promising that the fundamental issues underlined by the students can be effectively resolved to improve curriculum and teaching quality.;;2376-5992
"Ferro, Lauren S.; Sapio, Francesco; Terracina, Annalisa; Temperini, Marco; Mecella, Massimo";Gea2: A Serious Game for Technology-Enhanced Learning in STEM;IEEE TRANSACTIONS ON LEARNING TECHNOLOGIES;10.1109/TLT.2022.3143519;Article;2021;Education and training are among the fields taking advantage of serious games (SGs). In this article, we present Gea 2: A New Earth, a digital SG developed as an immersive 3-D virtual learning environment, integrating several educational resources, including multimedia learning material, communication tools, and intelligent tutoring support. The game aims to complement traditional classroom activities in science, technology, engineering, and mathematics (STEM), for high school students and teachers. It incorporates an intelligent pedagogical agent that can converse in natural language with the student and provides unsolicited hints during gameplay. This article presents the game and its evaluation based on experiments involving about 100 participants. We think that the results presented here add to the research on game-based learning for STEM, by proposing a complex game system, where artificial intelligence techniques are integrated to support students' learning, and by confirming that the game experience can be attractive for the learners, also in very constrained classroom environments, such as those we operated in.;1939-1382;
"Sadqui, Azeddine; Ertel, Merouane; Sadiki, Hicham; Amali, Said";Evaluating Machine Learning Models for Predicting Graduation Timelines in Moroccan Universities;INTERNATIONAL JOURNAL OF ADVANCED COMPUTER SCIENCE AND APPLICATIONS;;Article;2023;The escalating student numbers in Moroccan universities have intensified the complexities of managing on -time graduation. In this context, Machine learning methodologies were utilized to analyze the patterns and predict on-time graduation rates in a comprehensive manner. Our dataset comprised information from 5236 bachelor students who graduated in the years 2020 and 2021 from the Faculty of Law, Economic, and Social Sciences at Moulay Ismail University. The dataset incorporated a diverse range of student attributes including age, marital status, gender, nationality, socio-economic category of parents, profession, disability status, province of residence, high school diploma attainment, and academic honors, all contributing to a comprehensive understanding of the factors influencing graduation outcomes. Implementation and evaluation of the performance of five different machine learning models: Support Vector Machines, Decision Tree, Naive Bayes, Logistic Regression, and Random Forest, were carried out. These models were assessed based on their classification reports, confusion matrices, and Receiver Operating Characteristic (ROC) curves. From the findings, the Random Forest model emerged as the most accurate in predicting on-time graduation, showcasing the highest accuracy and ROC AUC score. Despite these promising results, it is believed that performance enhancements can be achieved through further tuning and preprocessing of the dataset. Insights from this study could enable Moroccan universities, among others, to better comprehend the factors influencing on-time graduation and implement appropriate measures to improve academic outcomes.;2158-107X;2156-5570
"Fan, Zongwen; Gou, Jin; Wang, Cheng";Predicting secondary school student performance using a double particle swarm optimization-based categorical boosting model;ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE;10.1016/j.engappai.2023.106649;Article;2023;Knowing the potential students who will fail the final exam at early stages is very challenging but important for the decision-makers in the educational institutions to take proper actions to prevent them from failure. To accurately predict the secondary school student performance, we propose a double particle swarm optimization (PSO)-based categorical boosting (P2CatBoost) model based on the demographic, school period grades, and social/school related features. Considering the machine learning models are sensitive to their hyper-parameter settings, we introduce the PSO to optimize the fitness function. In addition, the threshold of a standard binary classification task is 0.5, which might not be the optimal value in real-world applications. Thus, we optimize this threshold by the PSO. To evaluate the performance of our proposed model, two datasets downloaded from the University of California, Irvine Repository and the Kaggle, respectively, are used. The experimental results showed that our proposed P2CatBoost has the best performance in terms of all the metrics used. Our proposed P2CatBoost has the best accuracy of 96.62% and 94.45% for the final grade prediction of the Mathematics and Portuguese courses, respectively. In addition, our proposed model outperforms the other models under comparison from 4.5% to 8.3%. The statistical analyses verify that our P2CatBoost can significantly outperform the comparing models. These results confirm the effectiveness of our double PSO for improving the performance of student performance prediction, indicating our proposed model could be a useful tool in educational institutions to improve the quality of education.;0952-1976;1873-6769
"ul Abideen, Zain; Mazhar, Tehseen; Razzaq, Abdul; Haq, Inayatul; Ullah, Inam; Alasmary, Hisham; Mohamed, Heba G. G.";Analysis of Enrollment Criteria in Secondary Schools Using Machine Learning and Data Mining Approach;ELECTRONICS;10.3390/electronics12030694;Article;2023;Out-of-school children (OSC) surveys are conducted annually throughout Pakistan, and the results show that the literacy rate is increasing gradually, but not at the desired speed. Enrollment campaigns and targets system of enrollment given to the schools required a valuable model to analyze the enrollment criteria better. In existing studies, the research community mainly focused on performance evaluation, dropout ratio, and results, rather than student enrollment. There is a great need to develop a model for analyzing student enrollment in schools. In this proposed work, five years of enrollment data from 100 schools in the province of Punjab (Pakistan) have been taken. The significant features have been extracted from data and analyzed through machine learning algorithms (Multiple Linear Regression, Random Forest, and Decision Tree). These algorithms contribute to the future prediction of school enrollment and classify the school's target level. Based on these results, a brief analysis of future registrations and target levels has been carried out. Furthermore, the proposed model also facilitates determining the solution of fewer enrollments in school and improving the literacy rate.;;2079-9292
"Hu, Bihao; Zheng, Longwei; Zhu, Jiayi; Ding, Lishan; Wang, Yilei; Gu, Xiaoqing";Teaching Plan Generation and Evaluation With GPT-4: Unleashing the Potential of LLM in Instructional Design;IEEE TRANSACTIONS ON LEARNING TECHNOLOGIES;10.1109/TLT.2024.3384765;Article;2024;This study explores and analyzes the specific performance of large language models (LLMs) in instructional design, aiming to unveil their potential strengths and possible weaknesses. Recently, the influence of LLMs has gradually increased in multiple fields, yet exploratory research on their application in education remains relatively scarce. In response to this situation, our research, grounded in pedagogical content knowledge theory, initially formulated an instructional design framework based on mathematical problem chains and corresponding prompt instructions. Subsequently, a comprehensive tool for assessing LLM's instructional design capabilities was developed. Utilizing Generative Pretrained Transformer 4, a high school mathematics teaching plan dataset was generated. Finally, the performance of LLMs in instructional design was evaluated. The evaluation results revealed that the teaching plans generated by LLMs excel in setting instructional objectives, identifying teaching priorities, organizing problem chains and teaching activities, articulating subject content, and selecting methods and strategies. Particularly commendable performance was noted in the modules of statistics and functions. However, there is room for improvement in aspects related to mathematical culture and interdisciplinary assessment, as well as in the geometry and algebra modules. Lastly, this study proposes initiatives, such as LLM prompt-based teacher training and the integration of mathematics-focused LLMs. These suggestions aim to advance personalized instructional design and professional development of teachers, offering educators new insights into the in-depth application of LLMs.;1939-1382;
"Zaki, Suhanom Mohd; Razali, Saifudin; Kader, Mohd Aidil Riduan Awang Kader; Laton, Mohd Zahid; Ishak, Maisarah; Burhan, Norhapizah Mohd";Predicting students' performance at higher education institutions using a machine learning approach;KYBERNETES;10.1108/K-12-2023-2742;"Article; Early Access";2024;"PurposeMany studies have examined pre-diploma students' backgrounds and academic performance with results showing that some did not achieve the expected level of competence. This study aims to examine the relationship between students' demographic characteristics and their academic achievement at the pre-diploma level using machine learning.Design/methodology/approachSecondary data analysis was used in this study, which involved collecting information about 1,052 pre-diploma students enrolled at Universiti Teknologi MARA (UiTM) Pahang Branch between 2017 and 2021. The research procedure was divided into two parts: data collecting and pre-processing, and building the machine learning algorithm, pre-training and testing.FindingsGender, family income, region and achievement in the national secondary school examination (Sijil Pelajaran Malaysia [SPM]) predict academic performance. Female students were 1.2 times more likely to succeed academically. Central region students performed better with a value of 1.26. M40-income students were more likely to excel with an odds ratio of 2.809. Students who excelled in SPM English and Mathematics had a better likelihood of succeeding in higher education.Research limitations/implicationsThis research was limited to pre-diploma students from UiTM Pahang Branch. For better generalizability of the results, future research should include pre-diploma students from other UiTM branches that offer this programme.Practical implicationsThis study is expected to offer insights for policymakers, particularly, the Ministry of Higher Education, in developing a comprehensive policy to improve the tertiary education system by focusing on the fourth Sustainable Development Goal.Social implicationsThese pre-diploma students were found to originate mainly from low- or middle-income families; hence, the programme may help them acquire better jobs and improve their standard of living. Most students enrolling on the pre-diploma performed below excellent at the secondary school level and were therefore given the opportunity to continue studying at a higher level.Originality/valueThis predictive model contributes to guidelines on the minimum requirements for pre-diploma students to gain admission into higher education institutions by ensuring the efficient distribution of resources and equal access to higher education among all communities.";0368-492X;1758-7883
"Cinar, Ayse; Ince, Elif; Gezer, Murat; Yilmaz, Ozgur";Machine learning algorithm for grading open-ended physics questions in Turkish;EDUCATION AND INFORMATION TECHNOLOGIES;10.1007/s10639-020-10128-0;Article;2020;Worldwide, open-ended questions that require short answers have been used in many exams in fields of science, such as the International Student Assessment Program (PISA), the International Science and Maths Trends Research (TIMSS). However, multiple-choice questions are used for many exams at the national level in Turkey, especially high school and university entrance exams. This study aims to develop an objective and useful automatic scoring model for open-ended questions using machine learning algorithms. Within the scope of this aim, an automated scoring model construction study was conducted on four Physics questions at a University level course with the participation of 246 undergraduate students. The short-answer scoring was handled through an approach that addresses students' answers in Turkish. Model performing machine learning classification techniques such as SVM (Support Vector Machines), Gini, KNN (k-Nearest Neighbors), and Bagging and Boosting were applied after data preprocessing. The score indicated the accuracy, precision and F1-Score of each predictive model of which the AdaBoost.M1 technique had the best performance. In this paper, we report on a short answer grading system in Turkish, based on a machine learning approach using a constructed dataset about a Physics course in Turkish. This study is also the first study in the field of open-ended exam scoring in Turkish.;1360-2357;1573-7608
Li, Yuanyuan;Deep Learning-Based Correlation Analysis between the Evaluation Score of English Teaching Quality and the Knowledge Points;COMPUTATIONAL INTELLIGENCE AND NEUROSCIENCE;10.1155/2022/4102959;Article;2022;As one of the three main courses from primary school to senior high school, improving the quality of English teaching in and out of class has become the top priority of colleges and universities. English knowledge points are complex, and domestic scholars have studied vocabulary knowledge and grammatical awareness from various perspectives, but there is still a lack of research on the correlation between vocabulary knowledge, grammatical awareness, and cloze test scores of senior high school students. Therefore, this paper carries out empirical research from the depth of English vocabulary, English grammar, reading comprehension, cloze test, and composition, aiming at exploring the relationship between teaching quality and English knowledge points. Classroom teaching quality evaluation is the basic content of education quality evaluation, which not only needs to evaluate the effect of class hours but also needs a student's long-term learning effect. In order to improve the quality of classroom English teaching, enrich the content of classroom English, and ultimately make the quality of students' learning to a higher level, the combination model of the teaching quality evaluation index is established by combining the decision tree with the knowledge point rule association method and the evaluation results are verified by association rule analysis. This paper selects the effective indicators that affect the evaluation of English teaching quality, determines the weight of the indicators by using the analytic hierarchy process, effectively constructs the combination model of the decision tree and rule association method, and establishes the evaluation model of students' English learning ability in the classroom. Taking students as the main object and combining them with the requirements of digital teaching, the evaluation index system is formed, the index weight is determined by using the analytic hierarchy process, and the classroom teaching quality evaluation model based on the decision tree and English knowledge point correlation analysis is constructed to truly reflect the teaching level of teachers, and the correlation analysis is carried out between English teachers' own quality and students' learning effects and knowledge points. By testing the model performance of English vocabulary depth, reading comprehension, grammar, writing, and other knowledge points, we can well evaluate and analyze students' mastery of English learning and the correlation of English knowledge points.;1687-5265;1687-5273
"Jiang, Shiyan; Qian, Yingxiao; Tang, Hengtao; Yalcinkaya, Rabia; Rose, Carolyn P.; Chao, Jie; Finzer, William";Examining computational thinking processes in modeling unstructured data;EDUCATION AND INFORMATION TECHNOLOGIES;10.1007/s10639-022-11355-3;Article;2023;"As artificial intelligence (AI) technologies are increasingly pervasive in our daily lives, the need for students to understand the working mechanisms of AI technologies has become more urgent. Data modeling is an activity that has been proposed to engage students in reasoning about the working mechanism of AI technologies. While Computational thinking (CT) has been conceptualized as critical processes that students engage in during data modeling, much remains unexplored regarding how students created features from unstructured data to develop machine learning models. In this study, we examined high school students' patterns of iterative model development and themes of CT processes in iterative model development. Twenty-eight students from a journalism class engaged in refining machine learning models iteratively for classifying negative and positive reviews of ice cream stores. This study draws on a theoretical framework of CT processes to examine students' model development processes. The results showed that students (1) demonstrated three patterns of iterative model development, including incremental, filter-based, and radical feature creation; (2) engaged in complex reasoning about language use in diverse contexts in trial and error, (3) leveraged multiple data representations when applying mathematical and computational techniques. The results provide implications for designing accessible AI learning experiences for students to understand the role and responsibility of modelers in creating AI technologies and studying AI learning experiences from the angle of CT processes.";1360-2357;1573-7608
"Amjad, Saman; Younas, Muhammad; Anwar, Muhammad; Shaheen, Qaisar; Shiraz, Muhammad; Gani, Abdullah";Data Mining Techniques to Analyze the Impact of Social Media on Academic Performance of High School Students;WIRELESS COMMUNICATIONS & MOBILE COMPUTING;10.1155/2022/9299115;Article;2022;The main purpose of educational institutions is to provide quality education to their students. However, it is difficult to analyze large data manually. Educational data mining is more effective as compared to statistical methods used to explore data in educational settings to analyze students' performance. The objective of the study is to use different data mining techniques and find their performance and impact of different features on students' academic performance. The dataset was collected from the Kaggle repository. To analyze the dataset, different classification algorithms were applied like decision tree, random forest, SVM classifier, SGD classifier, AdaBoost classifier, and LR classifier. This research revealed that random forest achieved a higher score (98%). The score of decision tree, AdaBoost, logistic regression, SVM, and SGD is 90%, 89%, 88%, 86%, and 84%, respectively. Results show that technology greatly influences student performance. The students who use social media throughout the week showed low performance as compared to the students who use it only at weekends. Furthermore, the impact of other features on the performance of students is also measured.;1530-8669;1530-8677
"Mgonja, Thomas; Robles, Francisco";Identifying Critical Factors When Predicting Remedial Mathematics Completion Rates;JOURNAL OF COLLEGE STUDENT RETENTION-RESEARCH THEORY & PRACTICE;10.1177/15210251221083314;Article;2024;Completion of remedial mathematics has been identified as one of the keys to college success. However, completion rates in remedial mathematics have been low and are of much debate across America. This study leverages machine learning techniques in trying to predict and understand completion rates in remedial mathematics. The purpose of this study is to build machine learning models that can predict students that are least likely to complete remedial mathematics and identify which factors are most influential when computing those predictions. The study discovers random forest as the highest performing model. Furthermore, the study reveals that the remedial course a student begins with, credit completion rate, math placement score, and high school G.P.A as the most influential predictors of completion rates. The study also offers future research directions, especially in how to improve the performance of the machine learning models.;1521-0251;1541-4167
Hui, Yuan;Predicting Math Performance in High School Students using Machine Learning Techniques;INTERNATIONAL JOURNAL OF ADVANCED COMPUTER SCIENCE AND APPLICATIONS;10.14569/IJACSA.2024.0150516;Article;2024;In the field of education, understanding and predicting student performance plays a crucial role in improving the quality of system management decisions. In this study, the power of various machine learning techniques to learn the complicated task of predicting students' performance in math courses using demographic data of 395 students was investigated. Predicting students' performance through demographic information makes it possible to predict their performance before the start of the course. Filtered and wrapper feature selection methods were used to find 10 important features in predicting students' final math grades. Then, all the features of the data set as well as the 10 selected features of each of the feature selection methods were used as input for the regression analysis with the Adaboost model. Finally, the prediction performance of each of these feature sets in predicting students' math grades was evaluated using criteria such as Pearson's correlation coefficient and mean squared error. The best result was obtained from feature selection by the LASSO method. After the LASSO method for feature selection, the Extra Tree and Gradient Boosting Machine methods respectively had the best prediction of the final math grade. The present study showed that the LASSO feature selection technique integrated with regression analysis with the Adaboost model is a suitable data mining framework for predicting students' mathematical performance.;2158-107X;2156-5570
Kizilcec, Rene F.;To Advance AI Use in Education, Focus on Understanding Educators;INTERNATIONAL JOURNAL OF ARTIFICIAL INTELLIGENCE IN EDUCATION;10.1007/s40593-023-00351-4;Editorial Material;2024;A better understanding of educators' perspectives of emerging education technology, specifically tools that incorporate AI, is essential to unlock the full potential benefits of these innovations. While prior research has primarily emphasized technological advancements, it has overlooked the profound influence of social, psychological, and cultural factors in shaping educators' perceptions, trust, and adoption of educational technology. As increasingly powerful AI tools emerge, their design must be rooted in a deep understanding of educators' needs and perspectives. It is only with the acceptance and trust of educators that these innovative solutions can elevate learning outcomes, academic achievements, and educational equity.;1560-4292;1560-4306
"Angara, Prashanti Priya; Stege, Ulrike; MacLean, Andrew; Muller, Hausi A.; Markham, Tom";Teaching Quantum Computing to High-School-Aged Youth: A Hands-On Approach;IEEE TRANSACTIONS ON QUANTUM ENGINEERING;10.1109/TQE.2021.3127503;Article;2022;"Quantum computing is aninterdisciplinary field that lies at the intersection of mathematics, quantum physics, and computer science, and finds applications in areas including optimization, machine learning, and simulation of chemical, physical, and biological systems. It has the potential to help solve problems that so far have no satisfying method solving them, and to provide significant speedup to solutions when compared with their best classical approaches. In turn, quantum computing may allow us to solve problems for inputs that so far are deemed practically intractable. With the computational power of quantum computers and the proliferation of quantum development kits, quantum computing is anticipated to become mainstream, and the demand for a skilled workforce in quantum computing is expected to increase significantly. Therefore, quantum computing education is ramping up. This article describes our experiences in designing and delivering quantum computing workshops for youth (Grades 9-12). We introduce students to the world of quantum computing in innovative ways, such as newly designed unplugged activities for teaching basic quantum computing concepts. We also take a programmatic approach and introduce students to the IBM Quantum Experience using Qiskit and Jupyter notebooks. Our contributions are as follows. First, we present creative ways to teach quantum computing to youth with little or no experience in science, technology, engineering, and mathematics areas; second, we discuss diversity and highlight various pathways into quantum computing from quantum software to quantum hardware; and third, we discuss the design and delivery of online and in-person motivational, introductory, and advanced workshops for youth.";;2689-1808
"Aslan, Ayse; Bakir, Ilke; Vis, Iris F. A.";A dynamic thompson sampling hyper-heuristic framework for learning activity planning in personalized learning;EUROPEAN JOURNAL OF OPERATIONAL RESEARCH;10.1016/j.ejor.2020.03.038;Article;2020;"Personalized learning is emerging in schools as an alternative to one-size-fits-all education. This study introduces and explores a weekly demand-driven flexible learning activity planning problem of own-pace own-method personalized learning. The introduced problem is a computationally intractable optimization problem involving many decision dimensions and also many soft constraints. We propose batch and decomposition methods to generate good-quality initial solutions and a dynamic Thompson sampling based hyper-heuristic framework, as a local search mechanism, which explores the large solution space of this problem in an integrative way. The characteristics of our test instances comply with average secondary schools in the Netherlands and are based on expert opinions and surveys. The experiments, which benchmark the proposed heuristics against Gurobi MIP solver on small instances, illustrate the computational challenge of this problem numerically. According to our experiments, the batch method seems quicker and also can provide better quality solutions for the instances in which resource levels are not scarce, while the decomposition method seems more suitable in resource scarcity situations. The dynamic Thompson sampling based online learning heuristic selection mechanism is shown to provide significant value to the performance of our hyper-heuristic local search. We also provide some practical insights; our experiments numerically demonstrate the alleviating effects of large school sizes on the challenge of satisfying high-spread learning demands. (C) 2020 Elsevier B.V. All rights reserved.";0377-2217;1872-6860
"Lee, Yujin; Bicer, Ali; Hyun, Park Ji";Effect of coding integrated mathematics program on affective mathematics engagement;Research in Mathematical Education;;research-article;2024;The integration of coding and mathematics education, known as coding-integrated mathematics education, has received much attention due to the strength of Artificial Intelligence-based Science, Technology, Engineering, Arts, and Mathematics (AI-based STEAM) education in improving students’ affective domain. The present study investigated the effectiveness of coding-integrated mathematics education on students’ development of affective mathematics engagement. Participants in this study were 86 middle and high school students who attended the coding-integrated mathematics program.Surveys of students’ affective mathematics engagement were administered before and after the intervention period. The results showed that students’ affective mathematics engagement was statistically significantly improved through coding-integrated mathematics education. In particular, students exhibited increased positive affective mathematics engagement in terms of mathematical attitude, emotion, and value. These findings indicate the positive influence of coding-integrated mathematics education on students’ learning in mathematics.;1226-6191;
"Maphosa, Mfowabo; Doorsamy, Wesley; Paul, Babu";Improving Academic Advising in Engineering Education with Machine Learning Using a Real-World Dataset;ALGORITHMS;10.3390/a17020085;Article;2024;The role of academic advising has been conducted by faculty-student advisors, who often have many students to advise quickly, making the process ineffective. The selection of the incorrect qualification increases the risk of dropping out, changing qualifications, or not finishing the qualification enrolled in the minimum time. This study harnesses a real-world dataset comprising student records across four engineering disciplines from the 2016 and 2017 academic years at a public South African university. The study examines the relative importance of features in models for predicting student performance and determining whether students are better suited for extended or mainstream programmes. The study employs a three-step methodology, encompassing data pre-processing, feature importance selection, and model training with evaluation, to predict student performance by addressing issues such as dataset imbalance, biases, and ethical considerations. By relying exclusively on high school performance data, predictions are based solely on students' abilities, fostering fairness and minimising biases in predictive tasks. The results show that removing demographic features like ethnicity or nationality reduces bias. The study's findings also highlight the significance of the following features: mathematics, physical sciences, and admission point scores when predicting student performance. The models are evaluated, demonstrating their ability to provide accurate predictions. The study's results highlight varying performance among models and their key contributions, underscoring the potential to transform academic advising and enhance student decision-making. These models can be incorporated into the academic advising recommender system, thereby improving the quality of academic guidance.;;1999-4893
"Drushlyak, Marina; Lukashova, Tetiana; Shamonia, Volodymyr; Semenikhina, Olena";ChatGPT-Based Simulation Helps to Develop the Pre-Service Mathematics Teachers' Critical Thinking;INTERNATIONAL JOURNAL OF INSTRUCTION;10.29333/iji.2025.1819a;Article;2025;"The development of IT affects society in general and the education sector in particular. The emergence of AI (in particular ChatGPT), which is constantly being improved, already causes specific problems in the organization and administration of the educational process. Still, the peculiarities of its functioning make it possible to perceive ChatGPT as learning means in the pre-service mathematics teachers' training. The article presents the results of a study that answers the following questions: (1) Can ChatGPT be a digital platform that generates pupils' answers (secondary school)?- Yes; (2) Are students (pre- service mathematics teachers) prepared to check answers that ChatGPT generates?- Yes; (3) Does checking answers that ChatGPT generates affect the development of students' critical thinking?- Yes. The study involved a pedagogical experiment in which authors described how ChatGPT generates solutions to math problems and what mistakes it makes. We ensured that students sometimes find mathematical mistakes in the answers generated by ChatGPT, but repeated use of ChatGPT shows its positive impact on the development of pre- service mathematics teachers' critical thinking.";1694-609X;1308-1470
"Wu, Di; Zhang, Xinyan; Wang, Kaili; Wu, Longkai; Yang, Wei";A multi-level factors model affecting teachers' behavioral intention in AI-enabled education ecosystem;ETR&D-EDUCATIONAL TECHNOLOGY RESEARCH AND DEVELOPMENT;10.1007/s11423-024-10419-0;Article;2025;Artificial Intelligence (AI) is driving ecological shifts and systemic reforms in education. As practitioners of educational reform, teachers' behavioral intention to experience and accept the effectiveness of AI technologies will affect the quality of educational change. From an educational ecology perspective, this study explores the impact of core elements within three dimensions-technologies, pedagogies, and cultures-on teachers' behavioral intention to use AI in an AI-enabled educational ecosystem (AI-e3) environment. The study uses a multi-level mediation model to analyze data of 4349 teachers from 189 primary and secondary schools from a western province of China. The results indicated that school-level dimensional elements, directly or indirectly, influenced teachers' behavioral intention to use AI, mediated by teacher-level dimensional elements. The findings are relevant to school administrators and policy makers, who should consider the key influences on teachers' behavioral intentions to use AI and promote the effective application of AI science for educational change.;1042-1629;1556-6501
