"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Publisher","Language of Original Document","Document Type","Publication Stage","Open Access","Source","EID"
"Nadaf A.; Monroe S.; Chandran S.; Miao X.","Nadaf, Ali (55674938600); Monroe, Samantha (58044857600); Chandran, Sarath (58044776500); Miao, Xin (58044776600)","55674938600; 58044857600; 58044776500; 58044776600","Learning Factors for TIMSS Math Performance Evidenced Through Machine Learning in the UAE","2023","Lecture Notes on Data Engineering and Communications Technologies","154","","","47","66","19","0","10.1007/978-981-19-8040-4_4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145773803&doi=10.1007%2f978-981-19-8040-4_4&partnerID=40&md5=a01467002c9db9a708b1ead17d0746ef","Understanding how the UAE K12 education system performs with data-driven evidence is key to inform better policy making to support UAE vision to upskill human capital growth for its economic transformation. In this study, we investigate the potential of using machine learning techniques to understand key learning factors contributing to UAE student math performance on the TIMSS 2019 assessment. Due to the fact that learning factors co-exist and interact with one another, we explore the SHapley Additive exPlanations (SHAP) approach to explain the complexity of the model. The results highlight the importance and contributions of each learning factor and uncover the relationships between the learning factors. Understanding key learning factors and identifying evidence-based intervention opportunities will help policymakers with informed education intervention designs to improve student mathematics learning, in order to improve UAE student TIMSS math performance over the long run. © 2023, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.","Learning factor analysis; Machine learning; SHAP values; TIMSS 2019; UAE K12 Education","Education computing; Machine learning; Metadata; Factors analysis; K-12 education; Learning factor; Learning factor analyse; Machine-learning; Performance; Shapley; Shapley additive explanation value; TIMSS 2019; UAE k12 education; Students","Springer Science and Business Media Deutschland GmbH","English","Book chapter","Final","","Scopus","2-s2.0-85145773803"
"Ismail Y.; Okwan P.; Khalifa F.; Lawson A.; Lacy F.","Ismail, Yasser (15922741100); Okwan, Phyllis (57211902593); Khalifa, Fahmi (36622321200); Lawson, Albertha (57211902783); Lacy, Fred (6701564612)","15922741100; 57211902593; 36622321200; 57211902783; 6701564612","Improving the practical skills of STEM students at a historically black college and university (HBCU)","2024","Journal of Infrastructure, Policy and Development","8","6","3507","","","","0","10.24294/jipd.v8i6.3507","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197901282&doi=10.24294%2fjipd.v8i6.3507&partnerID=40&md5=a303586b68d811e16b2f2ec64a638133","Improving the practical skills of Science, Technology, Engineering and Mathematics (STEM) students at a historically black college and university (HBCU) was done by implementing a transformative teaching model. The model was implemented on undergraduate students of different educational levels in the Electrical Engineering (EE) Department at HBCU. The model was also extended to carefully chosen high and middle schools. These middle and high school students serve as a pipeline to the university, with a particular emphasis on fostering growth within the EE Department. The model aligns well with the core mission of the EE Department, aiming to enhance the theoretical knowledge and practical skills of students, ensuring that they are qualified to work in industry or to pursue graduate studies. The implemented model prepares students for outstanding STEM careers. It also increases enrolment, student retention, and the number of underrepresented minority graduates in a technology-based workforce. © 2024 by author(s).","artificial intelligence; Dewey’s philosophies; industry skills; Internet of things (IoT); Piaget’s philosophies; retention; robotics; STEM education","","EnPress Publisher, LLC","English","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85197901282"
"Begum S.; Padmannavar S.S.","Begum, Safira (57539042100); Padmannavar, Sunita S. (57381700000)","57539042100; 57381700000","Prediction of Student Performance using Genetically Optimized Feature Selection with Multiclass Classification","2022","International Journal of Engineering Trends and Technology","70","4","","223","235","12","5","10.14445/22315381/IJETT-V70I4P219","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129674470&doi=10.14445%2f22315381%2fIJETT-V70I4P219&partnerID=40&md5=2526022506eed785c295fdb44b70d856","Educational data mining is the key aspect of improving students' performance in education. the academic performance of students or instructors can be predicted by using the techniques and algorithms in educational data mining and data mining. the paper proposed a machine learning approach to predict the academic performance of secondary school students in Mathematics and Portuguese lessons. the proposed algorithm primarily applies the normalization and z-score normalization in the pre-processing stage to solve the unbalanced class distribution problem. Then, feature selection processes are performed using a Genetic algorithm. Students' success in Mathematics and Portuguese lessons is estimated by the k-nearest neighbour (KNN), linear discriminant analysis (LDA) and support vector machine (SVM) classifications. the experimental results compare the accuracy, precision, F-score, and sensitivity values of the abovementioned methods.  © 2022 Seventh Sense Research Group®.","Educational Data Mining; K-Nearest Neighbour; Linear Discriminant Analysis; Machine Learning; Support Vector Machine","","Seventh Sense Research Group","English","Article","Final","","Scopus","2-s2.0-85129674470"
"Nagy M.; Main J.B.; Molontay R.; Griffith A.L.","Nagy, M. (57204943886); Main, J.B. (54385815900); Molontay, R. (57190565014); Griffith, A.L. (16039181000)","57204943886; 54385815900; 57190565014; 16039181000","Using Machine Learning Methods to Develop Person-Centered Models Predicting STEM Major Choice","2023","SEFI 2023 - 51st Annual Conference of the European Society for Engineering Education: Engineering Education for Sustainability, Proceedings","","","","995","1004","9","0","10.21427/EE90-XX67","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179849864&doi=10.21427%2fEE90-XX67&partnerID=40&md5=8459aa6406f08c5acf69a433d77dec52","Understanding the factors that influence the choice of a STEM major is important for developing effective strategies to increase participation in STEM fields and meet the growing demand for skilled workers. This research is based on the nationally representative data of 25,206 students surveyed in the High School Longitudinal Study of 2009 (HSLS:09). The HSLS:09 includes longitudinal data from 9th-grade students through their postsecondary study. First, we use machine learning to predict who is going to opt for a STEM major. Then we use interpretable ML tools, such as SHAP values, to investigate the key factors that influence students' decisions to pursue a college STEM major. We identified with a relatively high degree of accuracy the students who will later choose a STEM major, namely our CatBoost classifier achieved an AUC score of 0.791. Moreover, by interpreting the model, we find that having a science or math identity, as well as demographic characteristics, such as gender and race, play important roles in the decision to pursue a STEM major. For example, Asians are more, females are less likely to consider a STEM major, on the other hand, we also find that gender and race do not influence students' science or math identity. © 2023 SEFI 2023 - 51st Annual Conference of the European Society for Engineering Education: Engineering Education for Sustainability, Proceedings. All Rights Reserved.","educational data science; explainable artificial intelligence (XAI); machine learning; person-centered models; STEM major","Education computing; Engineering education; Machine learning; Educational data science; Explainable artificial intelligence (XAI); Growing demand; Higher School; Longitudinal study; Machine learning methods; Machine-learning; Person-centered model; STEM fields; STEM major; Students","European Society for Engineering Education (SEFI)","English","Conference paper","Final","","Scopus","2-s2.0-85179849864"
"Hasib K.M.; Rahman F.; Hasnat R.; Alam M.G.R.","Hasib, Khan Md. (57207760588); Rahman, Farhana (57209092554); Hasnat, Rashik (57564046800); Alam, Md. Golam Rabiul (26434126600)","57207760588; 57209092554; 57564046800; 26434126600","A Machine Learning and Explainable AI Approach for Predicting Secondary School Student Performance","2022","2022 IEEE 12th Annual Computing and Communication Workshop and Conference, CCWC 2022","","","","399","405","6","60","10.1109/CCWC54503.2022.9720806","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127631449&doi=10.1109%2fCCWC54503.2022.9720806&partnerID=40&md5=91c1f3098f09cdfb7686a5801c1f3a79","An essential component of the educational activity is rigorous examination and assessment of students' results, with a potential substantial influence on student growth. This paper offers a predictional model for student's success in secondary education using five classification algorithms: Logistic Regression, K-Nearest Neighbors (KNN), Support Vector Machine (SVM), XGBoost, and Naive Bayes, where the data is gathered from two Portuguese school reports and surveys. The two core disciplines (Mathematics subject and Portuguese language) of the dataset were modeled around binary/five-level classification tasks which is imbalanced. The imbalanced dataset is also balanced by using K-Means SMOTE (Synthetic Minority Oversampling Technique) before classification. The test results reveal that obtaining the most outstanding accuracy value is 96.89% of Support Vector Machine (SVM) is superior to Logistic Regression, KNN, XG-Boost, and Naive Bayes. Therefore, it is essential to consider whether a model makes a particular prediction. Thus, we then train an interpretable LIME (Local Interpretable Model-agnostic Explanations) model for all the classifiers and the construction of explainable models can have a major advantage: the model can be confident, the transparency of the model helps to understand the underlying processes for working. © 2022 IEEE.","Classification; Interpretable explanation; LIME; Machine learning; Prediction; Students performance","Classification (of information); Classifiers; Education computing; Lime; Logistic regression; Nearest neighbor search; Students; Support vector machines; Interpretable explanation; Local interpretable model-agnostic explanation; Logistics regressions; Machine-learning; Naive bayes; Nearest-neighbour; School students; Secondary schools; Student performance; Support vectors machine; Forecasting","Institute of Electrical and Electronics Engineers Inc.","English","Conference paper","Final","","Scopus","2-s2.0-85127631449"
"Zhou X.; Li K.; Munawar A.M.; Bai Z.","Zhou, Xiaofei (57217589045); Li, Kaixin (57226022524); Munawar, Abdul Moid (57226028924); Bai, Zhen (57220554432)","57217589045; 57226022524; 57226028924; 57220554432","Scaffolding Design to Bridge the Gaps between Machine Learning and Scientific Discovery for K-12 STEM Education","2021","Proceedings of Interaction Design and Children, IDC 2021","","","","604","609","5","4","10.1145/3459990.3465194","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110191748&doi=10.1145%2f3459990.3465194&partnerID=40&md5=6d95c4cf09d973d54816cedda1baa348","Machine Learning (ML) can provide an advanced lens for K-12 students to get their hands on intriguing patterns from real-world data and has the potential to empower young learners with more challenging cognitive skills needed for iterative scientific investigation. However, few efforts have been taken to unearth the unique challenges to engage K-12 teachers and students in ML-empowered scientific discovery (SD) learning. Moreover, it is under-explored what scaffolding can be designed to mitigate the challenges. Based on our previous study and literature research, we identified three gaps for novice learners to conduct ML-empowered SD: (1) cognitive overload in ML visual analytics; (2) insufficient synthesis of multivariate patterns for hypothesis development; (3) the lack of evidence evaluation during the iterative investigation. We also propose three corresponding scaffolding components and evaluation studies for the next step. © 2021 Owner/Author.","K-12 Education; Machine Learning; Scaffolding Design; Scientific Discovery Learning","Machine learning; Students; Cognitive overload; K-12 STEM education; Literature researches; Multivariate patterns; Scaffolding designs; Scientific discovery; Scientific investigation; Visual analytics; STEM (science, technology, engineering and mathematics)","Association for Computing Machinery, Inc","English","Conference paper","Final","","Scopus","2-s2.0-85110191748"
"Sun S.; Wu X.; Xu T.","Sun, Siyu (58055712900); Wu, Xiaopeng (57219141268); Xu, Tianshu (57223616465)","58055712900; 57219141268; 57223616465","A Theoretical Framework for a Mathematical Cognitive Model for Adaptive Learning Systems","2023","Behavioral Sciences","13","5","406","","","","9","10.3390/bs13050406","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160247713&doi=10.3390%2fbs13050406&partnerID=40&md5=30aea551f1919e538eab8e82717304f9","The emergence of artificial intelligence has made adaptive learning possible, but building an adaptive system requires a comprehensive understanding of students’ cognition. The cognitive model provides a crucial theoretical framework to explore students’ cognitive attributes, making it vital for learning assessment and adaptive learning. This study investigates 52 experts, including primary and secondary school teachers, mathematics education experts, and graduate students, based on the 16 cognitive attributes in the TIMSS 2015 assessment framework. Through an analysis of their attribute questionnaires, the Interpretive structural modeling (ISM) method is used to construct a five-level mathematical cognitive model. The model is then revised through oral reports and expert interviews, resulting in a final cognitive model ranging from “memorize” to “justify”. The cognitive model describes the relationship between different attributes in detail, enabling the development of adaptive systems and aiding in the diagnosis of students’ cognitive development and learning paths in mathematics. © 2023 by the authors.","adaptive learning system; cognitive model; interpretive structural modeling; mathematical learning","","MDPI","English","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85160247713"
"Denes G.","Denes, Gyorgy (57200041585)","57200041585","A case study of using AI for General Certificate of Secondary Education (GCSE) grade prediction in a selective independent school in England","2023","Computers and Education: Artificial Intelligence","4","","100129","","","","13","10.1016/j.caeai.2023.100129","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147343765&doi=10.1016%2fj.caeai.2023.100129&partnerID=40&md5=97768551a93b15f23b85c49fa084f997","The COVID-19 pandemic has created significant challenges for UK schools, but a time of cancelled exams and uncertainty around future examinations can provide opportunities to explore novel assessment methods. Hence, the 2020 proposal of the Ofqual algorithm which combines teachers' estimated grades and schools' historical performance seemed timely. However, the algorithmically calculated grades resulted in a public backlash and withdrawal of the proposal. While the failed Ofqual algorithm could be considered an example of AI, we do not yet have a thorough understanding of its numerical accuracy and how it performs in comparison to other AI models. This paper investigates this novel application: the potential use of a range of AI models as assessment tools in a selective, independent, secondary school in England. The following questions were examined: (1) how accurate are modern AI models in predicting GCSE exam grades? (2) what are the differences in model accuracy across subjects and can these be explained by qualitative differences in teachers' grading practices? Results indicate that while models yield acceptable mean absolute errors, individual mispredictions can be larger than desired. Subject differences highlighted that grading subjectivity is less significant in science, technology, engineering, and maths (STEM) subjects, which could explain why objective models fail to predict non-STEM grades more frequently. In summary, numerical results indicate that grade prediction could be an interesting novel application of AI, but more research is needed to reduce outliers. © 2023 The Author(s)","Examinations; Grade prediction; Grading; Machine learning","","Elsevier B.V.","English","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85147343765"
"Som A.; Kim S.; Lopez-Prado B.; Dhamija S.; Alozie N.; Tamrakar A.","Som, Anirudh (57192920207); Kim, Sujeong (51261071400); Lopez-Prado, Bladimir (26967914100); Dhamija, Svati (57195936739); Alozie, Nonye (35812109300); Tamrakar, Amir (15521297000)","57192920207; 51261071400; 26967914100; 57195936739; 35812109300; 15521297000","Automated Student Group Collaboration Assessment and Recommendation System Using Individual Role and Behavioral Cues","2021","Frontiers in Computer Science","3","","728801","","","","6","10.3389/fcomp.2021.728801","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117801550&doi=10.3389%2ffcomp.2021.728801&partnerID=40&md5=bb8ef1445a47e65eda46f8153cc91276","Early development of specific skills can help students succeed in fields like Science, Technology, Engineering and Mathematics. Different education standards consider “Collaboration” as a required and necessary skill that can help students excel in these fields. Instruction-based methods is the most common approach, adopted by teachers to instill collaborative skills. However, it is difficult for a single teacher to observe multiple student groups and provide constructive feedback to each student. With growing student population and limited teaching staff, this problem seems unlikely to go away. Development of machine-learning-based automated systems for student group collaboration assessment and feedback can help address this problem. Building upon our previous work, in this paper, we propose simple CNN deep-learning models that take in spatio-temporal representations of individual student roles and behavior annotations as input for group collaboration assessment. The trained classification models are further used to develop an automated recommendation system to provide individual-level or group-level feedback. The recommendation system suggests different roles each student in the group could have assumed that would facilitate better overall group collaboration. To the best of our knowledge, we are the first to develop such a feedback system. We also list the different challenges faced when working with the annotation data and describe the approaches we used to address those challenges. © Copyright © 2021 Som, Kim, Lopez-Prado, Dhamija, Alozie and Tamrakar.","collaboration assessment; deep learning; education; feedback system; k-12; machine learning","","Frontiers Media S.A.","English","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85117801550"
"Acosta L.D.I.; Polo J.E.R.","Acosta, Lady Denisse Infante (57220068169); Polo, Jonatán Edward Rojas (57204841369)","57220068169; 57204841369","Identification of factors that affect the academic performance of high school students in Peru through a machine learning algorithm","2021","Proceedings of the LACCEI international Multi-conference for Engineering, Education and Technology","2021-July","","","","","","1","10.18687/LACCEI2021.1.1.68","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122034048&doi=10.18687%2fLACCEI2021.1.1.68&partnerID=40&md5=75c44d9cf0d0d3b474be0ec3f1253fda","The Peruvian Ministry of Education annually conducts the Student Census Evaluation (ECE, for its acronym in Spanish) to evaluate the level of learning achievement in the subjects of mathematics, reading and science and technology, both in public and private schools. The results are classified as Before beginning, Beginning, In process or Satisfactory. According to the results of the ECE 2019, it is observed that the academic performance achieved in the area of mathematics presents the highest percentage of students at the Satisfactory level (17.7%); however, in turn, said field of study is also the one that groups the highest percentage of students at the Before beginning level (33.0%). Considering the aforementioned, this research aims to identify those variables that affect the learning achievements in mathematics of high school students. Thus, for the proposed analysis, a classification model was built for each of the mentioned levels, through an ensemble machine learning algorithm that uses the gradient boosting method. As a result of the modeling, the importance of the variables analyzed was obtained, which finally identified those that have greater relevance in the prediction of the classification of each level of learning achievement. © 2021 Latin American and Caribbean Consortium of Engineering Institutions. All rights reserved.","Classification model; Educational system; Machine learning; Student academic performance","","Latin American and Caribbean Consortium of Engineering Institutions","English","Conference paper","Final","","Scopus","2-s2.0-85122034048"
"Nachouki M.; Mehdi R.A.K.","Nachouki, Mirna (35113666900); Mehdi, Riyadh A. K. (6603209323)","35113666900; 6603209323","Particle Swarm Model for Predicting Student Performance in Computing Programs","2022","Lecture Notes in Networks and Systems","295","","","84","96","12","3","10.1007/978-3-030-82196-8_7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113568423&doi=10.1007%2f978-3-030-82196-8_7&partnerID=40&md5=8bfa28ba25b8aea3283227dc6ee79d16","Predicting student performance in computing majors and the factors affecting his success can have a substantial effect on improving student academic performance and his on-time graduation with all the financial benefits that come with that. There is a limited amount of time an academic advisor may allocate to each student to identify problem areas in the curriculum and take appropriate actions and advise the student based on informed judgement. Thus, there is a need to predict which students are at risk early on in the program. In this work, we have built a prediction model based on particle swarm optimization to estimate the final graduation grade point average (GPA) of students enrolled in the information technology program at Ajman University. Input predictors used in this work were Students' final GPA scores in core courses and high school average grade. Based on records of 74 students who have graduated from the program so far, we have found that the most influential predictor of graduation GPA is high school grade average. Our results showed that the Data Structures and Discrete Mathematics have no role to play in the prediction of GPA while networking and security courses have the most significant prediction contribution. Forty per cent of predicted values fall within 0.25 of the real GPA, which has a maximum upper bound of four. However, the accuracy of the model significantly improved when applied to a much larger publicly available dataset with 88% of GPA scores falling within 0.25 of the actual GPA. © 2022, The Author(s), under exclusive license to Springer Nature Switzerland AG.","Computing education; Machine learning; Particle swarm optimization; Student performance prediction","","Springer Science and Business Media Deutschland GmbH","English","Conference paper","Final","","Scopus","2-s2.0-85113568423"
"Alcala A.; Bleach J.; O'Neill J.; Kane T.; Hennessy-Mccann E.; Booth J.; Darmody K.; Pathak P.; Stynes P.","Alcala, Alexandra (57971150300); Bleach, Josephine (55757723800); O'Neill, Jennifer (59702650000); Kane, Trinity (59702842500); Hennessy-Mccann, Emma (59703423000); Booth, Julie (57972169000); Darmody, Kate (57970946300); Pathak, Pramod (56740245800); Stynes, Paul (55935665900)","57971150300; 55757723800; 59702650000; 59702842500; 59703423000; 57972169000; 57970946300; 56740245800; 55935665900","STEM Play & Learn: A Summer Family Learning Programme in Socio-Economically Disadvantaged Communities","2024","Proceedings - Frontiers in Education Conference, FIE","","","","","","","1","10.1109/FIE61694.2024.10893101","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000680377&doi=10.1109%2fFIE61694.2024.10893101&partnerID=40&md5=1284e7a2f43f47417d1f1cd4a1d1003f","This innovative practice full paper describes a home-based summer family learning programme, STEM Play & Learn, designed to support kindergarten-aged children and their families by engaging them in Science, Technology, Engineering and Mathematics (STEM) activities. 'Summer Learning Loss' is the phenomenon where children experience a decrease in academic knowledge and skills when they take an extended break from education, particularly during the summer holidays. Children from lower socio-economic status backgrounds are disproportionately affected by summer learning loss. This research investigates the efficacy of a novel STEM Summer Family Learning Programme for 4-6-year-old children in a socio-economically disadvantaged community. The novelty of our programme centres around the practice and pedagogy delivered in the child's home with parental engagement at its core. The programme is delivered once a week over six weeks by Home Visitors. Child-directed open-ended play-based STEM activities are modelled to encourage children to develop higher-order thinking skills. Parents and children are encouraged to explore these educational STEM Play and Learn activities further between visits. Through a community action research methodology, this research employs a cyclical process of observing, reflecting, acting, evaluating, and modifying. Results of parent and child evaluation data show promise in improving the children's developmental skills and positively influencing the home learning environment. Results also indicate there was an increase in the parents' confidence in teaching their children STEM at home. The findings contribute insights into how an innovative STEM family learning programme for early years educators and parents enhances educational outcomes for kindergarten-aged children and mitigates summer learning loss. © 2024 IEEE.","Diversity and Broadening Participation; Informal Learning Environments; K-12 Education; Pedagogical and Instructional Approaches; STEM","Adversarial machine learning; Federated learning; Broadening participation; Diversity and broadening participation; Engineering and mathematics; Informal learning environments; K-12 education; Learn+; Learning projects; Pedagogical and instructional approach; Science technologies; Science, technology, engineering and mathematic; Contrastive Learning","Institute of Electrical and Electronics Engineers Inc.","English","Conference paper","Final","","Scopus","2-s2.0-105000680377"
"Naya-Varela M.; Guerreiro-Santalla S.; Baamonde T.; Bellas F.","Naya-Varela, Martin (57195636602); Guerreiro-Santalla, Sara (57540164700); Baamonde, Tamara (58039323300); Bellas, Francisco (6603449491)","57195636602; 57540164700; 58039323300; 6603449491","Robobo SmartCity: An Autonomous Driving Model for Computational Intelligence Learning Through Educational Robotics","2023","IEEE Transactions on Learning Technologies","16","4","","543","559","16","17","10.1109/TLT.2023.3244604","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149380213&doi=10.1109%2fTLT.2023.3244604&partnerID=40&md5=426b40730be5f84d9e8a7edc9af4a489","This article presents the Robobo SmartCity model, an educational resource to introduce students to computational intelligence (CI) topics using educational robotics as the core learning technology. Robobo SmartCity allows educators to train learners in artificial intelligence (AI) fundamentals from a feasible and practical perspective, following the recommendations of digital education plans to introduce AI at all educational levels. This resource is based on the Robobo educational robot and an autonomous driving setup. It is made up of a city mockup, simulation models, and programming libraries adapted to the students' skill level. In it, students can be trained in CI topics that support robot autonomy, as computer vision, machine learning, or human-robot interaction, while developing solutions in the motivating and challenging scope of autonomous driving. The main details of this open resource are provided with a set of possible challenges to be faced in it. They are organized in terms of the educational level and students' skills. The resource has been mainly tested with secondary and high school students, obtaining successful learning outcomes, presented here to inspire other teachers in taking advantage of this learning technology in their classes.  © 2008-2011 IEEE.","and mathematics (STEM); Computational intelligence (CI); educational robots; educational simulations; engineering; machine learning; mobile and personal devices; robot programming; science; technology","Education computing; Educational robots; Human robot interaction; Intelligent robots; Learning systems; Students; Teaching; Adaptation models; Autonomous driving; Computational modelling; Educational robotics; Educational simulations; Machine-learning; Mobile and personal device; Personal devices; Robot sensing system; STEM; Robot programming","Institute of Electrical and Electronics Engineers Inc.","English","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85149380213"
"Su Y.-S.; Tseng W.-L.; Cheng H.-W.; Lai C.-F.","Su, Yu-Sheng (58915879900); Tseng, Wen-Ling (58949838400); Cheng, Hung-Wei (57478090000); Lai, Chin-Feng (58925003900)","58915879900; 58949838400; 57478090000; 58925003900","Applying STEM and extended reality technologies to explore students' artificial intelligence learning performance and behavior for sustainable development goals","2024","Library Hi Tech","","","","","","","4","10.1108/LHT-08-2023-0362","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188280230&doi=10.1108%2fLHT-08-2023-0362&partnerID=40&md5=d44f30e16637d800884366f5b81167ff","Purpose: To support achieving sustainable development goals (SDGs), we integrated science, technology, engineering and math (STEM) and extended reality technologies into an artificial intelligence (AI) learning activity. We developed Feature City to facilitate students' learning of AI concepts. This study aimed to explore students' learning outcomes and behaviors when using Feature City. Design/methodology/approach: Junior high school students were the subjects who used Feature City in an AI learning activity. The learning activity consisted of 90-min sessions once per week for five weeks. Before the learning activity, the teacher clarified the learning objectives and administered a pretest. The teacher then instructed the students on the features, supervised learning and unsupervised learning units. After the learning activity, the teacher conducted a posttest. We analyzed the students' prior knowledge and learning performance by evaluating their pretest and posttest results and observing their learning behaviors in the AI learning activity. Findings: (1) Students used Feature City to learn AI concepts to improve their learning outcomes. (2) Female students learned more effectively with Feature City than male students. (3) Male students were more likely than female students to complete the learning tasks in Feature City the first time they used it. Originality/value: Within SDGs, this study used STEM and extended reality technologies to develop Feature City to engage students in learning about AI. The study examined how much Feature City improved students' learning outcomes and explored the differences in their learning outcomes and behaviors. The results showed that students' use of Feature City helped to improve their learning outcomes. Female students achieved better learning outcomes than their male counterparts. Male students initially exhibited a behavioral pattern of seeking clarification and error analysis when learning AI education, more so than their female counterparts. The findings can help teachers adjust AI education appropriately to match the tutorial content with students' AI learning needs. © 2024, Emerald Publishing Limited.","Artificial intelligence education; Extended reality; SDGs; STEM","","Emerald Publishing","English","Article","Article in press","","Scopus","2-s2.0-85188280230"
"Ferro L.S.; Sapio F.; Terracina A.; Temperini M.; Mecella M.","Ferro, Lauren S. (55901624800); Sapio, Francesco (57192088991); Terracina, Annalisa (56529429000); Temperini, Marco (7004451363); Mecella, Massimo (6602717537)","55901624800; 57192088991; 56529429000; 7004451363; 6602717537","Gea2: A Serious Game for Technology-Enhanced Learning in STEM","2021","IEEE Transactions on Learning Technologies","14","6","","723","739","16","19","10.1109/TLT.2022.3143519","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123353158&doi=10.1109%2fTLT.2022.3143519&partnerID=40&md5=31b4ae61ec9609b2fc49ba214c61a349","Education and training are among the fields taking advantage of serious games (SGs). In this article, we present Gea 2: A New Earth, a digital SG developed as an immersive 3-D virtual learning environment, integrating several educational resources, including multimedia learning material, communication tools, and intelligent tutoring support. The game aims to complement traditional classroom activities in science, technology, engineering, and mathematics (STEM), for high school students and teachers. It incorporates an intelligent pedagogical agent that can converse in natural language with the student and provides unsolicited hints during gameplay. This article presents the game and its evaluation based on experiments involving about 100 participants. We think that the results presented here add to the research on game-based learning for STEM, by proposing a complex game system, where artificial intelligence techniques are integrated to support students' learning, and by confirming that the game experience can be attractive for the learners, also in very constrained classroom environments, such as those we operated in. © 2008-2011 IEEE.","and mathematics (STEM) education; engineering; Game-based learning; science; serious games (SGs); technology; technology-enhanced learning (TEL)","Computer aided instruction; E-learning; Engineering education; Space research; Teaching; Engineering and mathematics; Entertainment industry; Game; Game-based Learning; Mathematics education; Science education; Science technologies; Science, technology, engineering, and mathematic; Space explorations; Task analysis; Technology education; Technology enhanced learning; Students","Institute of Electrical and Electronics Engineers Inc.","English","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85123353158"
"Mohd Zaki S.; Razali S.; Awang Kader M.A.R.; Laton M.Z.; Ishak M.; Mohd Burhan N.","Mohd Zaki, Suhanom (56940714900); Razali, Saifudin (36810405400); Awang Kader, Mohd Aidil Riduan (57191036230); Laton, Mohd Zahid (56820220400); Ishak, Maisarah (57194587202); Mohd Burhan, Norhapizah (57226651980)","56940714900; 36810405400; 57191036230; 56820220400; 57194587202; 57226651980","Predicting students’ performance at higher education institutions using a machine learning approach","2024","Kybernetes","","","","","","","0","10.1108/K-12-2023-2742","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200331404&doi=10.1108%2fK-12-2023-2742&partnerID=40&md5=0e9e3db465fc461e3281c4cf2af44e45","Purpose: Many studies have examined pre-diploma students' backgrounds and academic performance with results showing that some did not achieve the expected level of competence. This study aims to examine the relationship between students’ demographic characteristics and their academic achievement at the pre-diploma level using machine learning. Design/methodology/approach: Secondary data analysis was used in this study, which involved collecting information about 1,052 pre-diploma students enrolled at Universiti Teknologi MARA (UiTM) Pahang Branch between 2017 and 2021. The research procedure was divided into two parts: data collecting and pre-processing, and building the machine learning algorithm, pre-training and testing. Findings: Gender, family income, region and achievement in the national secondary school examination (Sijil Pelajaran Malaysia [SPM]) predict academic performance. Female students were 1.2 times more likely to succeed academically. Central region students performed better with a value of 1.26. M40-income students were more likely to excel with an odds ratio of 2.809. Students who excelled in SPM English and Mathematics had a better likelihood of succeeding in higher education. Research limitations/implications: This research was limited to pre-diploma students from UiTM Pahang Branch. For better generalizability of the results, future research should include pre-diploma students from other UiTM branches that offer this programme. Practical implications: This study is expected to offer insights for policymakers, particularly, the Ministry of Higher Education, in developing a comprehensive policy to improve the tertiary education system by focusing on the fourth Sustainable Development Goal. Social implications: These pre-diploma students were found to originate mainly from low- or middle-income families; hence, the programme may help them acquire better jobs and improve their standard of living. Most students enrolling on the pre-diploma performed below excellent at the secondary school level and were therefore given the opportunity to continue studying at a higher level. Originality/value: This predictive model contributes to guidelines on the minimum requirements for pre-diploma students to gain admission into higher education institutions by ensuring the efficient distribution of resources and equal access to higher education among all communities. © 2024, Emerald Publishing Limited.","Demographic; Higher education; Machine learning; Pre-diploma; Student performance","Education computing; Learning algorithms; Machine learning; Population statistics; Academic performance; Demographic; High educations; Higher education institutions; Machine learning approaches; Machine-learning; Malaysia; Pre-diploma; Secondary schools; Student performance; Students","Emerald Publishing","English","Article","Article in press","","Scopus","2-s2.0-85200331404"
