"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Implementation of Digital Guided Discovery Learning at Ibrahimy Boarding School","D. N. Asy'ari; Mustaji; F. Arianto","Department of Educational, Technology State University of Surabaya, Surabaya, Indonesia; Department of Educational, Technology State University of Surabaya, Surabaya, Indonesia; Department of Educational, Technology State University of Surabaya, Surabaya, Indonesia",2024 6th International Workshop on Artificial Intelligence and Education (WAIE),"4 Mar 2025","2024","","","182","186","This study aims to analyze the implementation of digital-guided discovery learning for students in boarding schools. Learning carried out in boarding schools is still traditional. The characteristics of the curriculum and students in boarding schools need to develop in the digital learning paradigm. It is necessary to adapt digital technology-based learning to support global demands in the 21st century. This research method uses a quasiexperimental post-test only design. The subjects of the study were 72 students in grade VII of junior high school at the Ibrahimy boarding school. Research data were collected using tests to determine learning outcomes and questionnaires to determine student assessments of the implementation of learning. Findings from the results of the implementation of digital guided discovery learning provide better learning outcome assessments than traditional guided discovery learning. Students tend to like this learning activity although a small number of students still give the assessment that this learning is still difficult for them to do. Students at the Ibrahimy boarding school have succeeded in adapting by using digital learning. These findings are the first step in developing more widespread digital technology-based learning at the Ibrahimy boarding school.","","979-8-3503-7889-4","10.1109/WAIE63876.2024.00040","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10904353","digital learning;digital guided discovery learning;discovery learning;boarding school","Conferences;Education;Learning (artificial intelligence)","","","","22","IEEE","4 Mar 2025","","","IEEE","IEEE Conferences"
"Development of an Early Warning System to Support Educational Planning Process by Identifying At-Risk Students","M. Skittou; M. Merrouchi; T. Gadi","Laboratory Mathematics, Computer and Engineering Sciences (MISI), Faculty of Sciences and Technics, Hassan First University of Settat, Settat, Morocco; Laboratory Mathematics, Computer and Engineering Sciences (MISI), Faculty of Sciences and Technics, Hassan First University of Settat, Settat, Morocco; Laboratory Mathematics, Computer and Engineering Sciences (MISI), Faculty of Sciences and Technics, Hassan First University of Settat, Settat, Morocco",IEEE Access,"4 Jan 2024","2024","12","","2260","2271","The development of data analysis techniques and intelligent systems has had a considerable impact on education, and has seen the emergence of the field of educational data mining (EDM). The Early Warning System (EWS) has been of great use in predicting at-risk students or analyzing learners’ performance. Our project concerns the development of an early warning system that takes into account a number of socio-cultural, structural and educational factors that have a direct impact on a student’s decision to drop out of school. We have worked on an original database dedicated to this issue, which reflects our approach of seeking exhaustiveness and precision in the choice of dropout indicators. The model we built performed very well, particularly with the K-Nearest Neighbor (KNN) algorithm, with an accuracy rate of over 99.5% for the training set and over 99.3% for the test set. The results are visualized using a Django application we developed for this purpose, and we show how this can be useful for educational planning.","2169-3536","","10.1109/ACCESS.2023.3348091","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10375365","Early warning system;machine learning;KNN;educational planning;dropout","Education;Planning;Data mining;Social factors;Intelligent systems;Machine learning;Risk management","","1","","37","CCBYNCND","28 Dec 2023","","","IEEE","IEEE Journals"
"Predicting Student Exam Scores: Exploring the Most Effective Regression Technique","F. Benkhalfallah; M. R. Laouar","Laboratory of mathematics, informatics and systems (LAMIS), Faculty of Exact Sciences and Natural and Life Sciences, Echahid Cheikh Larbi Tebessi University, Tebessa, Algeria; Laboratory of mathematics, informatics and systems (LAMIS), Faculty of Exact Sciences and Natural and Life Sciences, Echahid Cheikh Larbi Tebessi University, Tebessa, Algeria",2023 International Conference on Networking and Advanced Systems (ICNAS),"4 Dec 2023","2023","","","1","9","The incorporation of intelligent technologies, partic-ularly machine learning, has emerged as a pivotal element in the realm of education, warranting diligent attention to the education system. The use of predictive analytics in education presents a challenging yet crucial field, offering valuable insights to educational decision-makers regarding the influential factors that impact student performance. This knowledge enables informed policy decisions based on diverse criteria, thereby facilitating enhanced educational outcomes. This study aims to contribute to this discourse by scrutinising pertinent factors associated with student outcomes. Specifically, public high school students in the United States were interviewed, encompassing a comprehensive range of student-specific, social, and economic factors. To gain deeper insights into the efficacy of student achievement, a diverse set of machine learning algorithms, including Linear Regression (LR), Polynomial Regression (PR), Simple Regression Tree (SRT), Gradient Boosted Trees (GBT), Random Forest (RF), and Tree Ensemble (TE), were used to predict students' writing scores based on the dataset. Among these algorithms, the Gradient Boosted Trees (GBT) model demonstrated exceptional performance, surpassing the others with an impressive R-squared of 0,944.","","979-8-3503-1917-0","10.1109/ICNAS59892.2023.10330495","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10330495","Student Score Prediction;Education System;Intelligent Learning;Machine Learning;Supervised Learning;Regression;Boosted Gradient Trees","Radio frequency;Economics;Machine learning algorithms;Education;Linear regression;Writing;Prediction algorithms","","1","","18","IEEE","4 Dec 2023","","","IEEE","IEEE Conferences"
"Machine Learning Approach to Predict Basic Literacy Skills of Elementary School Students","I. Wickramasinghe; R. Aragon","Department of Mathematics, Prairie View A&M University Prairie View, TX, USA; Department of Mathematics, Eastern New Mexico University Portales, NM, USA","2023 International Conference on Electrical, Computer and Energy Technologies (ICECET)","22 Jan 2024","2023","","","1","6","Early identification of elementary students' literacy levels is vital for many reasons. With the availability of an extensive collection of data and advanced Machine learning (ML) algorithms, students' literacy levels can be predicted to ensure they are meeting the benchmark level. This manuscript presents the findings of such an investigation to predict end-of-the-year literacy levels of students at the elementary level. Using a dataset collected about students' related information and their academic scores (DIBELS), five machine learning models are constructed to classify whether students meet standards. Based on the experimental findings, the hyper-parameterized Random Forest model shows a significant performance with 81% of recall value in identifying a student at the risk of meeting the benchmark level.","","979-8-3503-2781-6","10.1109/ICECET58911.2023.10389241","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10389241","Students' Academic Performance;Machine Learning;Educational Data Mining;Educational Data Analysis;DIBELS score;Literacy Level;Elementary School","Machine learning algorithms;Computational modeling;Benchmark testing;Prediction algorithms;Data mining;Standards;Random forests","","","","21","IEEE","22 Jan 2024","","","IEEE","IEEE Conferences"
"An Intelligent Classification Method for Online Teaching Student Performance Data Based on Improved Decision Trees","H. He; H. Fan","Faculty of Education, Shaanxi Normal University, Xi’an, Shaanxi, China; Shaanxi Institute of Teacher Development, Shaanxi Normal University, Xi'an, Shaanxi, China",2024 6th International Conference on Computer Science and Technologies in Education (CSTE),"18 Jul 2024","2024","","","180","184","At present, the extraction of intelligent classification features of online teaching student achievement data is mostly one-way structure, and the efficiency of classification is low, leading to the smaller F1 value of intelligent classification. This paper proposes the design and verification of the intelligent classification method of online teaching student achievement data based on the improved decision tree. According to the current demand for intelligent classification, the online teaching student achievement data collection is advanced, and the multi-level method is adopted to improve the efficiency of classification and extract the characteristics of multi-level student achievement classification. On the basis of this, an intelligent classification model of online teaching students' performance data is constructed by improving the decision tree, and the intelligent classification of performance data is realized with the help of collaborative filtering. The final test results show that: for the selected five intelligent classification cycles of achievement data, and for the achievement data of junior high school mathematics, Chinese and English, the final intelligent classification F1 values can reach more than 0.85, all close to 1, which indicates that the intelligent classification method designed for online teaching students' achievement data is more efficient, complete and targeted with the help of improved decision trees. It has practical application value.","","979-8-3503-5180-4","10.1109/CSTE62025.2024.00041","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10589931","improved decision tree;online teaching;student achievement;intelligent classification of data;classification methods;results summary","Performance evaluation;Accuracy;Distance learning;Education;Feature extraction;Data models;Stability analysis","","","","12","IEEE","18 Jul 2024","","","IEEE","IEEE Conferences"
"Problem-solving skill development through STEM learning approaches","K. Zeeshan; C. Watanabe; P. Neittaanmäki","Faculty of Information Technology, University of Jyväskylä, Jyväskylä, Finland; Tokyo Institute of Technology, Japan; Faculty of Information Technology, University of Jyväskylä, Finland",2021 IEEE Frontiers in Education Conference (FIE),"20 Dec 2021","2021","","","1","8","This research to practice full paper presents problem solving skill development through STEM learning approaches. There is a rapid growing interest in STEM (science, technology, engineering and mathematics) education. One reason for this ever growing interest is to develop the skills in pupils, which are required by the industry 4.0 (Artificial intelligence, big data, Internet of things) in an era of global digitization. One such skill is problem-solving skill. In this article, we present a brief overview of related studies and conceptions in the past related to STEM education, why STEM education is needed? What is problem-solving skill development in context of STEM education? This article aims to highlight that how STEM education can develop problem-solving skills in learners at primary education level through thinking, and creating solutions for real life problems.","2377-634X","978-1-6654-3851-3","10.1109/FIE49875.2021.9637226","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9637226","STEM education;problem-solving skill development;problem-based learning;global digitization;K-12 education;primary education;design-based learning;scientific method-based learning","Conferences;Education;Big Data;Fourth Industrial Revolution;Problem-solving;Internet of Things;Pupils","","1","","30","IEEE","20 Dec 2021","","","IEEE","IEEE Conferences"
"Using UTAUT to Explore the Acceptance of High School Students in Programming Learning with Robots","M. -Y. Chiu; F. -Y. Chiu","Department of Education and Learning Technology, National Tsing Hua University, Hsinchu City, Taiwan R.O.C; Department of Education and Learning Technology, National Tsing Hua University, Hsinchu City, Taiwan R.O.C",2024 21st International Conference on Information Technology Based Higher Education and Training (ITHET),"16 Jan 2025","2024","","","1","7","Programming is an integral component of fundamental education in numerous countries, underscoring its significance in cultivating essential skills for the future. The incorporation of artificial intelligence robots into programming instruction signifies an emerging trend poised to revolutionize educational practices. This study undertakes a comparative analysis of two instructional methodologies: a traditional programming course and a course employing the Dash robot. Utilizing the Unified Theory of Acceptance and Use of Technology (UTAUT) framework and analyzing Course Satisfaction data, this research identifies the pivotal factors influencing the acceptance and efficacy of robot-assisted instruction in programming courses. The findings provide profound insights into how technological tools, particularly AI robots, can enhance the learning experience and outcomes for students. These results furnish educators with valuable information to guide the integration of robots into programming curricula, ultimately aiming to elevate teaching efficiency and student engagement. This study highlights the transformative potential of robot-assisted instruction in reshaping educational methodologies and better preparing students for the technological demands of the future.","2473-2060","979-8-3315-1663-5","10.1109/ITHET61869.2024.10837674","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10837674","programming learning;robot-assisted instruction;unified theory of acceptance and use of technology","Training;Educational robots;Navigation;Machine learning;Market research;Mathematics;Software;Problem-solving;Programming profession;Research and development","","","","22","IEEE","16 Jan 2025","","","IEEE","IEEE Conferences"
"Cybersecurity Based Simulation of Connected Automated Vehicles for Instructional Use","T. K. Mohd; S. Majumdar; A. Mathur; A. Javaid","EECS Department, The University of Toledo, Toledo, OH; EECS Department, The University of Toledo, Toledo, OH; EECS Department, The University of Toledo, Toledo, OH; EECS Department, The University of Toledo, Toledo, OH",2022 IEEE International Conference on Electro Information Technology (eIT),"7 Jul 2022","2022","","","032","036","A car moving at a speed of x mph, comes to a sudden halt after traveling y miles. What is the time taken by the car to reach z miles ahead of y? A high school student probably gets frustrated by questions like these on the ground that inquiries in arithmetic. The idea of implementing hacking on a smart car should improve student’s interest and motivate them to pursue careers in STEM-related areas. However, if the same example was demonstrated to them using a smart car prototype which was hacked, then there is a good chance they can get attracted towards Technology and Computing. When similar examples, involving the various other topics in their syllabus, are shown, they’ll probably get to see the real-life applications of the topics they study during high school and after that. This paper introduces a new attempt that aims at inclining the interest of high school students towards the courses in the STEM (which have an escalating carrier aspect), improving their computational thinking capability, and making them aware of today’s cybersecurity issues.","2154-0373","978-1-6654-8009-3","10.1109/eIT53891.2022.9813884","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9813884","cybersecurity;education;vehicular simulation","Solid modeling;Machine learning algorithms;Prototypes;Virtual reality;Machine learning;Market research;Motion pictures","","","","13","IEEE","7 Jul 2022","","","IEEE","IEEE Conferences"
"A Proposal for the Smart Classroom Infrastructure Using IoT and Artificial Intelligence","A. Martínez-Ballesté; E. Batista; E. Figueroa; G. F. Torruella; C. Llurba; J. Quiles-Rodríguez; O. Unciti; R. Palau","Department of Computer Engineering and Maths, Smart Technologies Research Group, Universitat Rovira i Virgili, Tarragona, Spain; Department of Computer Engineering and Maths, Smart Technologies Research Group, Universitat Rovira i Virgili, Tarragona, Spain; Department of Computer Engineering and Maths, Smart Technologies Research Group, Universitat Rovira i Virgili, Tarragona, Spain; Department of Pedagogy, ARGET Research Group, Universitat Rovira i Virgili, Tarragona, Spain; Department of Pedagogy, ARGET Research Group, Universitat Rovira i Virgili, Tarragona, Spain; Department of Pedagogy, ARGET Research Group, Universitat Rovira i Virgili, Tarragona, Spain; Department of Pedagogy, ARGET Research Group, Universitat Rovira i Virgili, Tarragona, Spain; Department of Pedagogy, ARGET Research Group, Universitat Rovira i Virgili, Tarragona, Spain","2024 IEEE 48th Annual Computers, Software, and Applications Conference (COMPSAC)","26 Aug 2024","2024","","","109","114","With the technological developments of recent years, the concept of the “Smart Classroom” has gained in importance and is increasingly becoming a plausible reality. This refers to a classroom in which real-time data collection facilitates decision-making to improve teaching and learning processes. This article presents a proposal for the smart classroom infrastructure that utilises based on the Internet of Things and Cognitive and Intelligent Systems. It consists of a number of perception units that focus on monitoring environmental variables such as light, air quality and noise, as well as variables related to the actors involved (students and teachers), especially those about emotions (which play a crucial role in educational processes). The information extracted from the data is stored and analysed by the classroom agent, which provides teachers with relevant information and suggestions in a timely manner. It is important to further develop our smart classroom infrastructure and test it in real environments to evaluate its potential and benefits in terms of the teaching and learning process, as well as to identify possible drawbacks and obstacles to implementation.","2836-3795","979-8-3503-7696-8","10.1109/COMPSAC61105.2024.00025","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10633649","smart classrooms;context-aware systems;cognitive systems","Emotion recognition;Education;Noise;Decision making;Lighting;Data protection;Real-time systems","","1","","44","IEEE","26 Aug 2024","","","IEEE","IEEE Conferences"
"Asia-Pacific STEAM Education in K-12 Schools: Systematic Literature Review","S. Z. Salas-Pilco","Faculty of Artificial Intelligence in Education, Central China Normal University, Wuhan, China","2021 IEEE International Conference on Engineering, Technology & Education (TALE)","24 Jan 2022","2021","","","1","7","Recently, there has been growing interest in STEAM (Science, Technology, Engineering, Arts, and Mathematics) education, as it provides diverse skills needed for economic development. Therefore, in this paper, it is examined 22 published articles on STEAM education from 2016 to 2020, corresponding to studies carried out in the Asia-Pacific region. The review found different research studies done in preschool, as well as primary and secondary schools. It is discussed the current characteristics and challenges of STEAM education in relation to its interdisciplinary educational approach. These studies demonstrate that efforts have been made to implement a STEAM curriculum in the education system.","2470-6698","978-1-6654-3687-8","10.1109/TALE52509.2021.9678800","Central China Normal University(grant numbers:1100/30106200286); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9678800","STEAM education;K-12;project-based learning;interdisciplinary learning;Asia-Pacific","Economics;Art;Systematics;Education;Mathematical models;Cultural differences;Robots","","3","","67","IEEE","24 Jan 2022","","","IEEE","IEEE Conferences"
"Teachers' Perceptions of Barriers Influencing African American and Hispanic Students with Disabilities' Participation in K-12 Computer Science Education","S. Ashford-Hanserd; S. Singh; A. Muoneke; P. Eaglin","Department of Organization, Workforce, and Leadership Studies, Texas State University San, Marcos, TX; Department of Organization, Workforce, and Leadership Studies, Texas State University San, Marcos, TX; Educounts Consulting, Austin, TX; Changing Expectations, Austin, TX","2021 Conference on Research in Equitable and Sustained Participation in Engineering, Computing, and Technology (RESPECT)","30 Nov 2021","2021","","","1","4","The Students with Disabilities in Computer Science (SWDCS) Research Alliance is conducting an NSF-funded study on teachers' perceptions about the barriers to increasing computer science (CS) awareness among African American and Hispanic students with disabilities (SWD). The SWDCS Research Alliance is a research-practitioner partnership of computer science and special educators. The purpose of this preliminary study is to increase African American and Hispanic students with disabilities' interest, engagement, learning, knowledge, and persistence in CS and STEM (science, technology, engineering, and mathematics) careers. This project employs a project-based voice user interface (VUI) and artificial intelligence (AI) instruction, and tech mentoring. Of the 21 teachers participating in the Alliance, the research team identified a convenience sample of eight teachers to participate in semi-structured, focus group interviews. Using an inductive thematic analysis approach, the researchers identified the following emergent themes: limitations of school or administrative policies for African American and Hispanic SWD enrolling in CS classes, lack of CS-focused interventions for African American and Hispanic SWD, lack of formal teacher preparation for CS teachers to work with SWD, and structural barriers limiting SWD, Hispanic, and Black students' enrollment in CS classes. This study fills the gap in the literature concerning minority SWD's experiences in CS education.","","978-1-6654-4905-2","10.1109/RESPECT51740.2021.9620628","National Science Foundation(grant numbers:1923199); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9620628","component;formatting;style;styling","Computer science;Knowledge engineering;Limiting;Engineering profession;Education;User interfaces;Computer science education","","1","","13","IEEE","30 Nov 2021","","","IEEE","IEEE Conferences"
"Analyzing Sensitive Factors Affecting Online Academic Performance in the New Normal: A Machine Learning Perspective","G. S. Lumacad; J. V. C. Damasing; S. B. M. Tacastacas; A. R. T. Quipanes","SHS Department of Science Technology, Engineering and Mathematics St. Rita's College of Balingasag, Cagayan de Oro, Philippines; SHS Department of Science Technology, Engineering and Mathematics St. Rita's College of Balingasag, Cagayan de Oro, Philippines; SHS Department of Science Technology, Engineering and Mathematics St. Rita's College of Balingasag, Cagayan de Oro, Philippines; SHS Department of Science Technology, Engineering and Mathematics St. Rita's College of Balingasag, Cagayan de Oro, Philippines",2022 XVII Latin American Conference on Learning Technologies (LACLO),"20 Jan 2023","2022","","","01","07","Online distance learning (ODL) is one extension of the distance learning approach introduced by the Department of Education (DepEd) as part of its learning continuity in the new normal (COVID - 19 times). Despite the advantages brought by online learning in continuing learners' learning experiences and improving learners' academic performance during the pandemic, it is still of vital importance to examine what factors are sensitive to changes in learner's online academic performance. In this study, sensitive factors affecting online academic performance are examined through the lens of machine learning (ML) methods: Boruta algorithm (BA) for feature selection; multilayer perceptron neural network (MLP NN) for model formulation; and partial derivatives method (PDM) for sensitivity analysis. Data used in the analysis are responses in the survey participated by N = 978 senior high and junior school students of a private high school institution in the Philippines. Out of eighteen factors considered in the analysis, BA revealed only six relevant factors that contributes greater information to changes in student's online academic performance. Formulated MLP NN model achieved a high testing accuracy of 0.932 with a kappa coefficient of 0.891 and an f - measure of 0.924, that aided the sensitivity analysis using PDM to have better results. Sensitivity analysis showed that motivation and mental well- being are the most sensitive factors affecting both below average and above average online academic performance.","","978-1-6654-6521-2","10.1109/LACLO56648.2022.10013373","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10013373","machine learning;sensitivity analysis;mental well - being;online academic performance;motivation;new normal","Computer aided instruction;Analytical models;Machine learning algorithms;Sensitivity analysis;Pandemics;Machine learning;Artificial neural networks","","","","36","IEEE","20 Jan 2023","","","IEEE","IEEE Conferences"
"Toward Embedding Robotics in Learning Environments With Support to Teachers: The IDEE Experience","S. Orlando; E. Gaudioso; F. de la Paz","Artificial Intelligence Department, School of Computer Science, National Distance University of Spain, Madrid, Spain; Artificial Intelligence Department, School of Computer Science, National Distance University of Spain, Madrid, Spain; Artificial Intelligence Department, School of Computer Science, National Distance University of Spain, Madrid, Spain",IEEE Transactions on Learning Technologies,"10 Jan 2024","2024","17","","874","884","Nowadays, there is an increasing interest in using different technologies, such as educational robotics in classrooms. However, in many cases, teachers have neither the necessary background to efficiently use these kits nor the information about how students are using robotics in classroom. To support teachers, learning environments with robotics tools should monitor the students' interaction data while they are interacting with the different resources provided. With the analysis of this data, teachers can obtain valuable information about students' learning progress. In previous work, we presented integrated didactic educational environment (IDEE), an integrated learning environment that uses robotics to support physics laboratories in secondary education. Students' interactions with IDEE are stored and analyzed using the additive factor model to show the teachers the most significant skills in the learning process and those students who have difficulties with these skills. Now, our goal is to enhance the information given to the teachers to allow them to focus on the specific needs of each student on every different skill involved in the activities and not only the significant skills. To this end, we use a conjunctive knowledge tracing model based on a hidden Markov model. In this article: first, we describe how the CKT model has been adapted to the pedagogical model of IDEE, second, we show that this model can identify the skills that each student masters, and thus, support teachers in identifying learning criticalities in students.","1939-1382","","10.1109/TLT.2023.3339882","Italian Ministry “Ministero dell'Istruzione, dell'Universitá e della Ricerca,” MIUR(grant numbers:488/2001); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10345689","Computer-assisted instruction;intelligent tutoring systems;learning environments;science, technologies, engineering and mathematics (STEM)","Robots;Education;Hidden Markov models;Programming profession;Physics;Mathematical models;Analytical models","","2","","44","CCBYNCND","6 Dec 2023","","","IEEE","IEEE Journals"
"Predicting Student Examination Performance to Improve Remedial Programs","O. Hillocks; P. Hosein","The University of the West Indies, St. Augustine, Trinidad and Tobago; The University of the West Indies, St. Augustine, Trinidad and Tobago","2022 IEEE International Conference on Technology Management, Operations and Decisions (ICTMOD)","16 Feb 2023","2022","","","1","6","Education is a critical pillar of success in life, and every child should have the right to quality education. As such, administrators should make every effort to provide an environment that fosters student success at every level. A crucial assessment period for children in St. Vincent and the Grenadines occurs at the Grade 6 level where students sit the Caribbean Primary Exit Assessment. In this study, we propose several models to predict student performance in Mathematics using diagnostic examination results for Math and English at Grade 2 and Grade 4 levels. We created additional features via a greedy approach to factor in the interactions of the provided features. The models used for prediction include the XGBRegressor, Principal Component Regression, KNN Regression, Lasso Regression, and a DNN. We compared these models using the metrics of Root Mean Square Error (RMSE), and the Co-efficient of Determination (R2). We also performed a number of experiments applying two scalers, StandardScaler and QuantileTransformer. We obtained the best performance using the XGBRegressor model with an RMSE, MAE and R2 of 9.71%,7.59% and 61.56% respectively.","2159-5119","978-1-6654-7027-8","10.1109/ICTMOD55867.2022.10041877","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10041877","Examination Score Prediction;Data Mining;Machine Learning","Measurement;Technology management;Education;Predictive models;Prediction algorithms;Mathematical models;Data models","","","","21","IEEE","16 Feb 2023","","","IEEE","IEEE Conferences"
"Fostering Student Competencies in Creative Project Work Through STEAM and Artificial Intelligence in Teaching Art","F. Kulanova; D. Baitureev; C. P. Singh","NIS, Shymkent City, Kazakhstan; NIS, Shymkent City, Kazakhstan; South Kazakhstan Pedagogical university, Shymkent city, Kazakhstan","2023 4th International Conference on Computation, Automation and Knowledge Management (ICCAKM)","5 Mar 2024","2023","","","1","6","The objective of this study is to determine if there exists a statistically significant distinction between high school pupils who get instruction in the topic of “Art” through the use of Artificial Intelligence (AI) and those who receive instruction through the integration of Science, Technology, Engineering, Arts, and Mathematics (STEAM). Creativity, particularly within the realm of art and design, is commonly perceived as the ability to think beyond conventional boundaries. The study posited an alternative perspective by equating computational thinking with creative thinking. A total of forty-two kids from a high school in Kazakhstan were chosen as case studies for the topic of Art. The objective is to facilitate the integration of STEM education and art-based education.","","979-8-3503-9324-8","10.1109/ICCAKM58659.2023.10449552","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10449552","Computational Thinking;Creativity;Art and Design Practices;STEAM;AI;Teaching;Pedagogy","Visualization;Art;Three-dimensional displays;Education;Vocational training;Artificial intelligence;Task analysis","","","","23","IEEE","5 Mar 2024","","","IEEE","IEEE Conferences"
"Teach Reinforcement Learning in Robotics Class: two case studies","Y. Zhang; W. Qu; Y. Xiao; G. Zhong","Normal College, ShenZhen University, ShenZhen, China; Normal College, ShenZhen University, ShenZhen, China; Normal College, ShenZhen University, ShenZhen, China; Normal College, ShenZhen University, ShenZhen, China","2022 IEEE International Conference on Teaching, Assessment and Learning for Engineering (TALE)","14 Jun 2023","2022","","","218","222","Reinforcement learning (RL), as a promising approach to realize Artificial Intelligence (AI), has been widely applied in developing robots. However, the current K12 Robotics Course is still designed to focus on traditional robot technology without RL. In order to foster the transition between education and industries, a robot course integrating RL is designed in our research. We implemented the course and carried out case studies in a robot course in a school and an experience class for K12 students. The results show that most students can successfully complete the robot task based on RL under reasonable course difficulty, and most students agree the proposal of teaching RL in K12 Robotics Course. This suggests researchers and policy makers to work on updating K12 Robotics Course by adding RL section, thus to keep the AI curriculum system and content modern.","2470-6698","978-1-6654-9117-4","10.1109/TALE54877.2022.00043","Ministry of Education; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10148363","K12 Robotics Course;Artificial Intelligence education;Reinforcement Learning;curriculum design","Industries;Service robots;Education;Reinforcement learning;Proposals;Artificial intelligence;Task analysis","","","","15","IEEE","14 Jun 2023","","","IEEE","IEEE Conferences"
"Application of Data Science and Machine Learning in the Prediction of College Dropout: A Data-Driven Predictive Approach","A. F. Félix Jiménez; V. S. Sanchéz Lee; I. I. Belmonte; E. F. Parra González","Engineering in Computer Systems, National Polytechnic Institute, Zacatecas, México; Engineering in Computer Systems, National Polytechnic Institute, Zacatecas, México; Software Engineer, Center for Research in Mathematics, Zacatecas, México; Computer Science Department, Center for Research in Mathematics, Zacatecas, México",2023 12th International Conference On Software Process Improvement (CIMPS),"15 May 2024","2023","","","234","243","This paper presents a study on the prediction of student graduation or failure using two predictive models: K-Nearest Neighbors (KNN) and a forward sequential Artificial Neural Network (ANN). The models, built with a well-chosen set of independent variables, were assessed using metrics like precision and accuracy. The results obtained revealed that both the KNN model and the sequential forward ANN model achieved high efficiency in predicting student graduation or failure, achieving accuracies of 0.9133% (K=3) and 0.9312% (after 50 epochs), respectively. Providing a valuable tool to identify early on students at risk of not graduating and to take preventive measures to improve their academic performance. Comparisons with related research showed consistent outcomes, underscoring the credibility and importance of the employed predictive models.","","979-8-3503-5856-8","10.1109/CIMPS61323.2023.10528825","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10528825","data science;machine learning;education;Mexico;dropout","Measurement;Artificial neural networks;Machine learning;Predictive models;Data science;Software","","","","26","IEEE","15 May 2024","","","IEEE","IEEE Conferences"
"A Visualized Hybrid Keyword-Cluster Approach for Extractive Text Summarizer Tool for STEM Education in Malaysia","S. Alias; M. Majalin; N. Hayatin","Universiti Malaysia Sabah, Sabah, Malaysia; Universiti Malaysia Sabah, Sabah, Malaysia; Universiti Malaysia Sabah, Sabah, Malaysia",2023 IEEE 8th International Conference On Software Engineering and Computer Systems (ICSECS),"26 Sep 2023","2023","","","139","144","Summary generated from an automatic text summarization tool has become increasingly relevant due to the shift towards online learning caused by the Covid-19 pandemic. In this paper, we present an extractive educational text summarizer tool with a focus on Science, Technology, Engineering, and Mathematics (STEM) subjects specifically designed for secondary school students in Malaysia. The tool addresses the challenge of understanding complex STEM concepts from lengthy explanations and problem-solving scenarios. We propose a new hybrid method for scoring the keywords by leveraging the word embeddings technique to improve the keyword extraction cluster approach. The generated summaries are displayed with highlighted cluster of keywords and illustrated using word clouds to attract students' interest and engage them with the subject matter. We compare our proposed method to the benchmark and baseline Malay text summarizer using random STEM articles. The ROUGE-l results produced an average F-Score of 56.8%, precision of 56.3% and recall of 58.1%. We also conducted a System Usability Testing with teachers and secondary school students, obtaining high ratings for system simplicity, pleasant interface, and ease of information retrieval. Our study demonstrates the potential of educational text summarization tools to enhance student learning experiences in diverse contexts.","","979-8-3503-1093-1","10.1109/ICSECS58457.2023.10256370","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10256370","Clustering;education;keyword extraction;natural language processing;text summarizer","Measurement;Visualization;Pandemics;Benchmark testing;Tag clouds;Data mining;Problem-solving","","","","22","IEEE","26 Sep 2023","","","IEEE","IEEE Conferences"
