title;author;journal;year;source;pages;volume;abstract;document_type;doi;url;selection_criteria;status;Keywords;domain_suggested
DIA4K12: Framework for Managing then Teaching-Learning of Artificial Intelligence at Early Ages;Labanda-Jaramillo, Milton and Chamba-Eras, Luis and Erreyes-Pinzon, Daysi and Chamba-Eras, Irene and Orellana-Malla, Angel;Lecture Notes in Networks and Systems;2022;Scopus;435 – 447;414 LNNS;"Artificial Intelligence (AI) is intervening positively in educations. UNESCO considers as a new vision to involve AI not only as a didactic medium but also as a science in which children can develop their intellect, through workshops, courses, and curricula focused on the fundamentals of AI, allowing them to develop skills such as computational and critical thinking. This research aims to design the DIA4K12 framework, which proposes the structure to support the teaching-learning process of AI in primary and secondary education. The core of the framework consists of four phases: planning, execution, process, and development; three components: open educational resources, K-12 curriculum and active methodologies; five sublevels: logical reasoning, computational thinking, and disconnected artificial intelligence, mathematics for AI, programming and machine learning; and three transversal axes: communities (communities of practice), open license (creative commons) and ethics. Finally, the framework was applied to a case study in the context of the Ecuadorian General Basic Education curriculum for the subject of Mathematics, using three phases, three components, and two sublevels. © 2022, The Author(s), under exclusive license to Springer Nature Switzerland AG.";Conference paper;10.1007/978-3-030-96293-7_36;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126199997&doi=10.1007%2f978-3-030-96293-7_36&partnerID=40&md5=c08db61e2267c32bb27544225f3f56fa;The topic is related to the application of Artificial Intelligence and Machine Learning in mathematics education.;Accepted;"Computational thinking; Education; Information technology education; Machine learning; School curriculum";Pensamiento Computacional
Learning with Interactive Knowledge Representations;Bredeweg, Bert and Kragten, Marco and Holt, Joanna and Kruit, Patricia and van Eijck, Tom and Pijls, Monique and Bouwer, Anders and Sprinkhuizen, Malou and Jaspar, Emile and de Boer, Muriel;APPLIED SCIENCES-BASEL;2023;Web Of Science;5256;13;Computers are promising tools for providing educational experiences that meet individual learning needs. However, delivering this promise in practice is challenging, particularly when automated feedback is essential and the learning extends beyond using traditional methods such as writing and solving mathematics problems. We hypothesize that interactive knowledge representations can be deployed to address this challenge. Knowledge representations differ markedly from concept maps. Where the latter uses nodes (concepts) and arcs (links between concepts), a knowledge representation is based on an ontology that facilitates automated reasoning. By adjusting this reasoning towards interacting with learners for the benefit of learning, a new class of educational instruments emerges. In this contribution, we present three projects that use an interactive knowledge representation as their foundation. DynaLearn supports learners in acquiring system thinking skills. Minds-On helps learners to deepen their understanding of phenomena while performing experiments. Interactive Concept Cartoons engage learners in a science-based discussion about controversial topics. Each of these approaches has been developed iteratively in collaboration with teachers and tested in real classrooms, resulting in a suite of lessons available online. Evaluation studies involving pre-/post-tests and action-log data show that learners are easily capable of working with these educational instruments and that the instruments thus enable a semi-automated approach to constructive learning.;Article;10.3390/app13095256;;The topic is related to the application of Artificial Intelligence and Machine Learning in mathematics education.;Accepted;knowledge representationlearning by modellingscience educationK-12;Evaluación/Predicción
K-12 Education in the Age of AI: A Call to Action for K-12 AI  Literacy;Wang, Ning and Lester, James;INTERNATIONAL JOURNAL OF ARTIFICIAL INTELLIGENCE IN EDUCATION;2023;Web Of Science;228--232;33;"The emergence of increasingly powerful AI technologies calls for the design and development of K-12 AI literacy curricula that can support students who will be entering a profoundly changed labor market. However, developing, implementing, and scaling AI literacy curricula poses significant challenges. It will be essential to develop a robust, evidence-based AI education research foundation that can inform AI literacy curriculum development. Unlike K-12 science and mathematics education, there is not currently a research foundation for K-12 AI education. In this article we provide a component-based definition of AI literacy, present the need for implementing AI literacy education across all grade bands, and argue for the creation of research programs across four areas of AI education: (1) K-12 AI Learning \& Technology; (2) K-12 AI Education Integration into STEM, Language Arts, and Social Science Education; (3) K-12 AI Professional Development for Teachers and Administrators; and (4) K-12 AI Assessment.";Article;10.1007/s40593-023-00358-x;;The topic is related to the application of Artificial Intelligence and Machine Learning in mathematics education.;Accepted;AI educationK-12 educationK-12 AI educationComputer science education;Evaluación/Predicción
Deep learning practice for high school student engagement in STEM careers;Santana, Otacilio Antunes and de Sousa, Barbara Alves and do Monte, Sandra Razana Silva and de Freitas Lima, Mayara Lopes and Ferraz e Silva, Caina;IEEE;2020;Web Of Science;164--169;;The use of deep learning activities at the educational stage is quite relevant for student engagement (positive or negative) in Science, Technology, Engineering, and Mathematics (STEM) careers. Physical contact with hardware, visual and interactive contact with software, and contact with algorithms are practices in which students observe the complexity of command could result in ingenious automation and task accomplishment (universal approximation theorem and/or probabilistic inference). Deep learning came to this work as a tool for solving a problem: How do we identify forage palm (Opuntia ficus-indica Mill, Cactaceae) for feeding goats, in an area under Semi-arid climate? High school students on advisory teachers of various disciplines (biology, chemical, physical, mathematics, geography, and others) attempt to answer to this question: Did student engagement happen by new context, problem to be solved, data collection (hardware), or data analysis (algorithm and software)? Sixty-seven high school students from Brazilian public schools (from 14 to 17 years old) participated in the proposed following teacher. High school students get more involved by practical and technological issues (mechanisms and hardware) than in scenario (new context) or by evaluation and discussion of the purpose. This data about the preference of one stage over other stages of Deep Learning determined the application for undergraduate courses in STEM. This was the most relevant data of this work, despite total engagement, students' preferences in one stage point out the student's academic vocation.;Article;10.1109/educon45650.2020.9125281;;The topic is related to the application of Artificial Intelligence and Machine Learning in mathematics education.;Accepted;K-12 EducationEngineering CareerProblem-Based LearningEngineering EducationRemote Labs;Pensamiento Computacional
The Dynamic Vectors-Based Attention Model for Chinese Mathematical Term Extraction;Zhong, Maosheng and Kuang, Jiangling and Liu, GanLin and Hua, Xin and Wu, Jiahua;IEEE INTELLIGENT SYSTEMS;2023;Web Of Science;12--20;38;Term extraction aims to extract domain-specific terminology from documents. Secondary school mathematics terminology plays a guiding role in the learning and teaching of secondary school mathematics. We found that there needs to be more work in this field and that there are two main issues in extracting the terms from the middle school mathematics text: the polysemy of one character problem and nested terms problem. Accordingly, we have constructed a secondary school mathematics corpus and proposed a model to resolve these problems, termed BERT-LLA-CRF. Using pretraining to obtain dynamic word vectors to improve the model's understanding of text semantics and solve the problem of multiple meanings of one word, the proposed model integrates attention mechanisms and Chinese character information to solve the nested terminology problem. The experiment results show that the proposed model effectively solves those problems and achieves good middle-school mathematics term extraction results.;Article;10.1109/MIS.2023.3246240;;The topic is related to the application of Artificial Intelligence and Machine Learning in mathematics education.;Accepted;Mathematical modelsTerminologyTask analysisData miningSemanticsLatticesComputational modeling;Didactic Activities
A Practical Model for Educators to Predict Student Performance in K-12 Education using Machine Learning;Harvey, Julie L. and Kumar, Sathish A. P.;2019 IEEE Symposium Series on Computational Intelligence, SSCI 2019;2019;Scopus;3004 – 3011;;Predicting classifiers can be used to analyze data in K-12 education. Creating a classification model to accurately identify factors affecting student performance can be challenging. Much research has been conducted to predict student performance in higher education, but there is limited research in using data science to predict student performance in K-12 education. Predictive models are developed and examined in this review to analyze a K-12 education dataset. Three classifiers are used to develop these predictive models, including linear regression, decision tree, and Naive Bayes techniques. The Naive Bayes techniques showed the highest accuracy when predicting SAT Math scores for high school students. The results from this review of current research and the models presented in this paper can be used by stakeholders of K-12 education to make predictions of student performance and be able to implement intervention strategies for students in a timely manner. © 2019 IEEE.;Conference paper;10.1109/SSCI44817.2019.9003147;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080951846&doi=10.1109%2fSSCI44817.2019.9003147&partnerID=40&md5=ce7f78f9f064b2f268ba910be1411331;The topic is related to the application of Artificial Intelligence and Machine Learning in mathematics education.;Accepted;;Estadística/Probabilidad
Machine learning for high school students;Mariescu-Istodor, Radu and Jormanainen, Ilkka;ACM International Conference Proceeding Series;2019;Scopus;;;In this study, we developed a machine learning method for object recognition that can be implemented using knowledge that high school students attain during their normal math and IT classes. We then tailored a two-hour interactive lesson in which the students were divided into groups to implement solutions to six distinct problems required by the method. The solutions were later put together by the teacher into a working web application (HTML + JavaScript). The lesson was taught on three occasions in Romanian schools to students between 13 and 19 years old. The students were excited about the lesson, and the collected data measuring students' intrinsic motivation suggests that the given tasks and the type of instruction were motivating them. The students also found the lesson achievable regardless the level of their previous programming background. The students were even able to suggest viable improvements to the method. The lesson is presented in short in this (17 minute) YouTube video1. Furthermore, we utilized the developed machine learning tool in a workshop with primary school children. Observations from this workshop suggest wider applicability of the tool, as well as further research questions on machine learning in K-12 settings. © 2019 ACM.;Conference paper;10.1145/3364510.3364520;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076783493&doi=10.1145%2f3364510.3364520&partnerID=40&md5=3fbf0ce0b2e5dc6125b1048bec40b8ba;The topic is related to the application of Artificial Intelligence and Machine Learning in mathematics education.;Accepted;"Education; HTML; JavaScript; Machine learning; Object recognition; School";Pensamiento Computacional
Technology 4.0 and digital transfer technology -the competition of learning online (E-learning) after a decade;Thu, Luu Hoai;ACM International Conference Proceeding Series;2020;Scopus;56 – 60;;In 2008, FPT corporation launched the Internet-Violympic Math Competition, the first contest in Vietnam that combines modern educational methods and strengths in IT, helping high school students love and learn more effectively. With nearly 30 million contestants in 63 provinces and cities across the country, the competition has created the joy of learning for tens of millions of students over the past 10 years. Following the success of Violympic, FPT corporation brought the VioEdu Online Education System to the market, contributing to creating fair learning opportunities for students nationwide, promoting the quality of national education. VioEdu is an online training system for elementary, junior high and high school students, helping to personalize their learning, save time and increase learning efficiency by applying the latest technology such as: Artificial intelligence (AI), Big data analysis, graphical knowledge modeling and compatible learning methods. Accordingly, the training process, data on learning behaviors and knowledge of students will be synthesized and analyzed by AI to find strengths and gaps in knowledge to propose appropriate learning pathways. As a result, each skill, depending on the nature, will be cultivated or promoted separately, helping them to learn the right focus and not spread out. The content of the lessons on VioEdu is developed and developed by a team of excellent teachers and educational experts from education departments and universities, following the curriculum of Vietnamese textbooks. In addition, the system also has about 30% of advanced and expanded knowledge. The form of visual lecture presentation, built as a game with encouraging prizes, creates a learning interest for children. Only with computers or mobile devices connected to the internet, students from all over the country can access modern education, shorten the knowledge gap between regions by the VioEdu online education system. Currently, the system has more than 400 video lectures and more than 100,000 content of Math teaching knowledge for elementary students. In the product development roadmap, VioEdu will cover all content of all levels of Vietnamese Mathematics, then extend to Mathematics in English, English, Physics, Chemistry, and STEM. The paper attempts to evaluate the effectiveness of the VioEdu system based on the testing process in the 2018-2019 school year with 2,000 students at some elementary schools in Hanoi, with 73.8% of students making progress. after 3-6 months of studying on VioEdu (according to an independent objective assessment of the teacher directly teaching). © 2020 ACM.;Conference paper;10.1145/3409891.3409897;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090884151&doi=10.1145%2f3409891.3409897&partnerID=40&md5=1519a0c1d5272358ce243cd3eada5399;The topic is related to the application of Artificial Intelligence and Machine Learning in mathematics education.;Accepted;"VioEdu; E-learning; Online education system; Personalize learning; Digital transformation; Digital learning.";Evaluación/Predicción
Teaching explainable artificial intelligence to high school students;Alonso, Jose M.;International Journal of Computational Intelligence Systems;2020;Scopus;974 – 987;13;Artificial Intelligence (AI) is part of our everyday life and has become one of the most outstanding and strategic technologies. Explainable AI (XAI) is expected to endow intelligent systems with fairness, accountability, transparency and explanation ability when interacting with humans. This paper describes how to teach fundamentals of XAI to high school students who take part in interactive workshop activities at CiTIUS-USC. These workshop activities are carried out in the context of a strategic plan for promoting careers on Science, Technology, Engineering and Mathematics. Students learn (1) how to build datasets free of bias, (2) how to build interpretable classifiers and (3) how to build multi-modal explanations. © 2020 The Authors. Published by Atlantis Press B.V.;Article;10.2991/ijcis.d.200715.003;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089591774&doi=10.2991%2fijcis.d.200715.003&partnerID=40&md5=39a35f4cf486d4fa68be4f74056ce78a;The topic is related to the application of Artificial Intelligence and Machine Learning in mathematics education.;Accepted;"ecision trees; Educational AI resources; Explainable artificial intelligence; Fuzzy rule-based classifiers; Interpretable computational intelligence";Didactic Activities
LiveHint: Intelligent digital support for analog learning experiences;Fisher, Joshua D. and Fancsali, Stephen E. and Lewis, Amy Jones and Fisher, Victoria Anne and Hausmann, Robert G.M. and Pavelko, Martina and Finocchi, Sandy Bartle and Ritter, Steven;CEUR Workshop Proceedings;2020;Scopus;80 – 89;2674;Among the critical expectations that learning stakeholders have for K-12 curriculum providers during the current global pandemic are that they provide: (a) support to rectify students' learning loss, (b) resources to help parents support student learning, and (c) greater access to open educational resources. We introduce a mobile-friendly, digital support for analog learning experiences called LiveHint, which currently supports students as they work on assignments in Carnegie Learning’s physical worktexts via a chatbot with access to thousands of context-sensitive hints. In addition to expanding the number of courses supported by LiveHint, we discuss possibilities for expanding the scope of activities supported by LiveHint within Carnegie Learning’s existing content. We also lay out possibilities for expanding the approach beyond Carnegie Learning’s content to teacher-created artifacts (e.g., custom worksheets), hand-offs between instructional modalities, and potential research use-cases for data collected from such a platform. Copyright © 2020 for this paper by its authors. Use permitted under Creative Commons License Attribution 4.0 International (CC BY 4.0).;Conference paper;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093854598&partnerID=40&md5=deed6346860a491fdc3f9fcdfac7c607;The topic is related to the application of Artificial Intelligence and Machine Learning in mathematics education.;Accepted;" Hints, Homework, Textbooks, Dialogue-Based Tutoring, Intelligent 
Tutoring Systems, Parent Support, Caregiver Support, K-12 Pandemic Re
sponse, K-12 COVID-19 Response, Mathematics Education.";Learning
Interactive online tool as an instrument for learning mathematics through programming techniques, aimed at high school students;Auccahuasi, Wilver and Santiago, Grisi Bernardo and OréNúñez, Elizabeth and Sernaque, Fernando;ACM International Conference Proceeding Series;2018;Scopus;70 – 76;;The High school is the pillar in the development of skills and competences of the basic sciences, allowing to develop in the student abilities that will allow him to choose a profession, the mathematics course is the one indicated in allowing the development of logical, analytical, interpretation and of calculation, allowing to develop with greater comfort in higher education. University careers and techniques related to engineering areas, have a strong component in mathematics and the development of certain courses related to the use of computer tools with greater emphasis on programming courses, it is the programming courses that allow the continuity of the student, in this research work, we present an interactive tool through which the student of secondary education is presented, topics related to mathematics and the way how they can be solved through the use of programming techniques, jointly developing mathematical, logical and programming skills, allowing the student to improve their cognitive skills and their ability to use the different computational tools, the pilot test was conducted on the basis of 15 students in the second grade of secondary education of a school in Lima, where he was given the basic course of programming using the interactive tool, developing development guides with problems of mathematical reasoning, which allowed us to analyze the improvement in the way of approaching mathematical problems from a logic of programming as well as the way of learning a programming language, in our case the language used was Python with an interactive tool based on artificial intelligence, which allows the student to ask about the use of the language syntax. © 2018 Association for Computing Machinery.;Conference paper;10.1145/3301551.3301580;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062916864&doi=10.1145%2f3301551.3301580&partnerID=40&md5=fb3efa06832c5c7267bebe29b1dcb7be;The topic is related to the application of Artificial Intelligence and Machine Learning in mathematics education.;Accepted;"Chatbot; Natural language processing; Python; Smart agents";Pensamiento Computacional
Automated Theorem Proving in GeoGebra: Current Achievements;Botana, Francisco and Hohenwarter, Markus and Jani?i?, Predrag and Kovács, Zoltán and Petrovi?, Ivan and Recio, Tomás and Weitzhofer, Simon;Journal of Automated Reasoning;2015;Scopus;39 – 59;55;GeoGebra is an open-source educational mathematics software tool, with millions of users worldwide. It has a number of features (integration of computer algebra, dynamic geometry, spreadsheet, etc.), primarily focused on facilitating student experiments, and not on formal reasoning. Since including automated deduction tools in GeoGebra could bring a whole new range of teaching and learning scenarios, and since automated theorem proving and discovery in geometry has reached a rather mature stage, we embarked on a project of incorporating and testing a number of different automated provers for geometry in GeoGebra. In this paper, we present the current achievements and status of this project, and discuss various relevant challenges that this project raises in the educational, mathematical and software contexts. We will describe, first, the recent and forthcoming changes demanded by our project, regarding the implementation and the user interface of GeoGebra. Then we present our vision of the educational scenarios that could be supported by automated reasoning features, and how teachers and students could benefit from the present work. In fact, current performance of GeoGebra, extended with automated deduction tools, is already very promising—many complex theorems can be proved in less than 1 second. Thus, we believe that many new and exciting ways of using GeoGebra in the classroom are on their way. © 2015, Springer Science+Business Media Dordrecht.;Article;10.1007/s10817-015-9326-4;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937759211&doi=10.1007%2fs10817-015-9326-4&partnerID=40&md5=45ca82c32d78c3a38b543ae33695418f;The topic is related to the application of Artificial Intelligence and Machine Learning in mathematics education.;Accepted;"Automatic theorem proving; Intelligent tutoring systems; Interactive learning environments; Secondary education";Álgebra
SmileyCluster: Supporting accessible machine learning in K-12 scientific discovery;Wan, Xiaoyu and Zhou, Xiaofei and Ye, Zaiqiao and Mortensen, Chase K. and Bai, Zhen;Proceedings of the Interaction Design and Children Conference, IDC 2020;2020;Scopus;23 – 35;;There is an increasing need to prepare young learners to be Artificial Intelligence (AI) capable for the future workforce and everyday life. Machine Learning (ML), as an integral subfield of AI, has become the new engine that revolutionizes practices of knowledge discovery. Making ML experience accessible to young learners, however, remains challenging due to its high demand for mathematical and computational skills. This research focuses on designing novel learning environments that help demystify ML technologies for K-12 students, and also investigating new opportunities for maximizing ML accessibility through integration with scientific discovery in STEM education. We developed SmileyCluster - a hands-on and collaborative learning environment that utilizes glyph-based data visualization and superposition comparative visualization to assist learning an entry-level ML technology, namely k-means clustering. Findings from an initial case study with high school students in a pre-college summer program show that SmileyCluster leads to positive change in learning ML concepts, methods and sense-making of patterns. Findings of this study also shed light on understanding ML as a data-enabled approach to support evidence-based scientific discovery in K-12 STEM education. © 2020 ACM.;Conference paper;10.1145/3392063.3394440;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087405579&doi=10.1145%2f3392063.3394440&partnerID=40&md5=89b8e6c5ad001744c057a3a1d9f8e5a6;The topic is related to the application of Artificial Intelligence and Machine Learning in mathematics education.;Accepted;"Data visualization; hands-on learning; AI literacy; scientific discovery; STEM education";Cálculo
A Preliminary Work on Visualization-based Education Tool for High School Machine Learning Education;Reyes, Abel A and Elkin, Colin and Niyaz, Quamar and Yang, Xiaoli and Paheding, Sidike and Devabhaktuni, Vijay K;2020 9th IEEE Integrated STEM Education Conference, ISEC 2020;2020;Scopus;;;Artificial Intelligence (AI) has become one of the most recurrent topics nowadays, due to its many industrial applications and its wide range of research topics in academia. Within AI, Machine Learning (ML) is one of the most prominent sub-fields, the popularity of which is complemented with its high demand as a professional skill for different industries. In the last few years, teaching ML is thus increasingly common in different levels of education. However, the curricula implemented for several courses or programs to learn ML are not always appropriate for the backgrounds of students, particularly high school students, as programming and complex math experience are usually required to implement ML models and understand the potential of this field. For this reason, it is possible for students to have difficulties with the lack of experience required or expected and to have prior to learning ML topics. In addition, motivation can be affected, as the curriculum does not sufficiently engage the student in the learning process. In this work, we propose a visualization tool to introduce high school students to the ML field, which will be implemented using concepts of gamification and adapting the content of the curriculum without requiring exhaustive experience in programming or math.  © 2020 IEEE.;Conference paper;10.1109/ISEC49744.2020.9280629;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099049734&doi=10.1109%2fISEC49744.2020.9280629&partnerID=40&md5=4da1f49b92a1e812dae25a72144e6e66;The topic is related to the application of Artificial Intelligence and Machine Learning in mathematics education.;Accepted;Artificial Intelligence, Education, Gamification, Machine Learning, Visualization.;Pensamiento Computacional
Automated geometry theorem proving for human-readable proofs;Wang, Ke and Su, Zhendong;IJCAI International Joint Conference on Artificial Intelligence;2015;Scopus;1193 – 1199;2015-January;Geometry reasoning and proof form a major and challenging component in the K-121 mathematics curriculum. Although several computerized systems exist that help students learn and practice general geometry concepts, they do not target geometry proof problems, which are more advanced and difficult. Powerful geometry theorem provers also exist, however they typically employ advanced algebraic methods and generate complex, difficult to understand proofs, and thus do not meet general K-12 students' educational needs. This paper tackles these weaknesses of prior systems by introducing a geometry proof system, iGeoTutor, capable of generating human-readable elementary proofs, i.e. proofs using standard Euclidean axioms. We have gathered 77 problems in total from various sources, including ones unsolvable by other systems and from Math competitions. iGeoTutor solves all but two problems in under two minutes each, and more importantly, demonstrates a much more effective and intelligent proof search than prior systems. We have also conducted a pilot study with 12 high school students, and the results show that iGeoTutor provides a clear benefit in helping students learn geometry proofs. We are in active discussions with Khan Academy and local high schools for possible adoption of iGeo-Tutor in real learning environments.;Conference paper;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949814140&partnerID=40&md5=1010c969673fdbffe0bf781cb7904d9f;The topic is related to the application of Artificial Intelligence and Machine Learning in mathematics education.;Accepted;;Geometría
Identifying affective trajectories in relation to learning gains during the interaction with a tutoring system;Padrón-Rivera, Gustavo and Rebolledo-Mendez, Genaro;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);2015;Scopus;756 – 759;9112;This paper presents the identification of sequences of affective states and its consequential impact to learning in an intelligent tutor for Mathematics at secondary level. These trajectories are represented as time series obtained by DAE 1.0 a software capable of detecting and labeling points in human faces in relation to affective states. Data was collected from students (N=44) in one secondary school, in a semirural town in Veracruz, Mexico. The students were asked to interact with the tutoring system for 40 minutes and were photographed by DAE 1.0 at a pace of 1 picture each 5 seconds. Based on a dataset consisting of 480 pictures per student, we employed the SAX algorithm to make the data discrete and facilitate the interpretation of the time series. The results of classifying the data using ID3 showed an accuracy of 62.85% in identification of affective trajectories related to higher learning gains. Future studies will seek to test this algorithm on a different data set with the aim of predicting performance towards personalizing affective interventions in the tutoring system. © Springer International Publishing Switzerland 2015.;Conference paper;10.1007/978-3-319-19773-9_109;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949009425&doi=10.1007%2f978-3-319-19773-9_109&partnerID=40&md5=42038db4d878c6d5498c385924ebca16;The topic is related to the application of Artificial Intelligence and Machine Learning in mathematics education.;Accepted;Affective states · Learning · Intelligent tutor system · Time series · SAX · ID3;Pensamiento Computacional
E-learning and classroom learning activities;Jan?a?ík, Antonín;Proceedings of the European Conference on e-Learning, ECEL;2019;Scopus;239 – 246;2019-November;Systems for e-learning or blended learning support of teaching have become an integral part of teaching process from primary schools to universities. There is an enormous number of various LMS systems and educational programmes. Most available systems offer teaching and learning materials and provide feedback to the teacher – information on results achieved by their students. The paper introduces the Techambition system and its potential and opportunities it provides. The system was designed to support mathematics education on upper secondary schools and has been developed by a British company of the same name. This system is used in mathematics education on dozens of upper secondary schools in the Czech Republic. The number of students who work with it exceeds 10,000. Last year Faculty of Education, Charlese University signed a contract with the company Techambition. Academic staff of Faculty of Education are involved in development of educational content. Unlike other product, the Techambition system offers a brand new function – planning teaching activities. A system of artificial intelligence evaluates students’ work and prepares a list of activities for them that the teacher should use in the next lesson. The plan includes both incentives for frontal teaching and proposals for collaborative learning. The system prepares for the teacher not only a set of tasks but also divides the students into groups. When dividing the students into groups, the system uses their characteristics (learning styles, knowledge of the topic, solving procedures used) with the aim of making the group work as effective as possible. Some activities are conducted on-line on computers and having evaluated the results new activities are proposed. The goal of the paper is to introduce the Techambition system as such, the method of designing individual activities as well as pupils’ and teachers’ experience with using the system. Results show that the use of AI in classroom management and lesson planning has a significant potential and deserves attention of further research. © The Authors, 2019. All Rights Reserved.;Conference paper;10.34190/EEL.19.109;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077508291&doi=10.34190%2fEEL.19.109&partnerID=40&md5=c66ffc279307d9b5214e1f0b4e4a69b1;The topic is related to the application of Artificial Intelligence and Machine Learning in mathematics education.;Accepted;techambition system, collaborative learning, classroom learning activities, artificial intelligence, e-learning;Álgebra
Modeling Engagement in Self-Directed Learning Systems Using Principal Component Analysis;Hershcovits, Haviv and Vilenchik, Dan and Gal, Kobi;IEEE Transactions on Learning Technologies;2020;Scopus;164 – 171;13;This paper studies students engagement in e-learning environments in which students work independently and solve problems without external supervision. We propose a new method to infer engagement patterns of users in such self-directed environments. We view engagement as a continuous process in time, measured along chosen axes that are derived from student data in the system using unsupervised learning (Principal Component Analysis). We construct a trajectory of user activity by projecting the user's scores along the selected PCs at regular time intervals. This approach is applied to a popular e-learning software for K12 math education that is used by thousands of students worldwide. We identify cohorts of users according to the way their trajectory changes over time (e.g., monotone up, monotone down, and constant). Each of the cohorts exhibits distinct behavioral dynamics and differed substantially in the amount of time users spent in the e-learning system. Specifically, one cohort included students that dropped out of the system after choosing very difficult problems that they were not able to complete, while another cohort included students users that chose more diverse problems and stayed longer in the system. In future work, these results can be used by teachers or intelligent tutors to track students' engagement in the system and decide whether and how to intervene. © 2008-2011 IEEE.;Article;10.1109/TLT.2019.2922902;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067817274&doi=10.1109%2fTLT.2019.2922902&partnerID=40&md5=d0af9b3dca2b0ef0832307740b56c7ed;The topic is related to the application of Artificial Intelligence and Machine Learning in mathematics education.;Accepted;"Educational technology, unsupervised learning,
 prediction methods.";Evaluación/Predicción
What’s a textbook? Envisioning the 21st century K-12 text;Ritter, Steven and Fisher, Josh and Lewis, Amy and Finocchi, Sandy Bartle and Hausmann, Robert G.M. and Fancsali, Stephen E.;CEUR Workshop Proceedings;2019;Scopus;88 – 95;2384;We present a vision for 21st century digital textbooks, reflecting on Carnegie Learning’s experience as a K-12 curriculum and service provider. After briefly considering the purpose of a textbook, we introduce components of Carnegie Learning’s blended mathematics curricula and consider the inherent tension between providing personalized, individual learning while also providing opportunities for collaborative learning. We then describe a vision for an Adaptive Classroom Environment and a supporting Adaptive Learning Recommendation System to deliver improved learning outcomes based on 21st century digital technologies. While Carnegie Learning has proto-typed facets of both the Adaptive Classroom Environment and Adaptive Learning Recommendation System, this area is ripe for exciting contributions and progress from the artificial intelligence in education (AIED) and related communities of researchers, developers, and practitioners. © 2019 CEUR-WS. All rights reserved.;Conference paper;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067792917&partnerID=40&md5=8dfb65fd293714ce75349b256cc3c0be;The topic is related to the application of Artificial Intelligence and Machine Learning in mathematics education.;Accepted;Mathematics Education, Intelligent Textbooks, Intelligent Tutoring Systems, Adaptive Learning, Adaptive Teaching, Collaborative Learning, Blended Instruction.;Tutoría Inteligente
An intelligent tutoring system and teacher dashboard to support mathematizing during science inquiry;Dickler, Rachel;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);2019;Scopus;332 – 338;11626 LNAI;Using mathematics is critical to science inquiry at the high school level and is predictive of students’ later success in STEM college majors and careers. Inq-ITS (Inquiry Intelligent Tutoring System) has recently added mathematizing functionalities in order to support students in the mathematical practices needed for scientific inquiry, and our teacher alerting dashboard, Inq-Blotter, is being extended to alert teachers in real-time to students’ difficulties with this practice. Mathematizing in science can be challenging as students must attend to multiple sources of information (i.e., graphs, data tables), as well as do graphing and modeling. In the present paper, I describe three studies on the use of Inq-Blotter to support students on mathematizing in which I: (1) explore students’ eye-movements and think-aloud protocols while mathematizing in Inq-ITS to identify the proportion of mathematizing difficulties that are related to knowledge acquisition processes versus other mathematical competencies (e.g., graph building and modeling), (2) examine if alerts within Inq-Blotter permit teachers to identify students who need help most (relative to teachers without access to alerts), and (3) identify whether teacher support based on alerts leads to improvements on students’ next opportunity to engage in mathematizing and examine the corresponding teacher discourse associated with students’ gains. These studies will indicate how to support students on mathematizing with intelligent technologies. © Springer Nature Switzerland AG 2019.;Conference paper;10.1007/978-3-030-23207-8_61;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068326556&doi=10.1007%2f978-3-030-23207-8_61&partnerID=40&md5=e78f02218638ff11219b89e6f8d08d0a;The topic is related to the application of Artificial Intelligence and Machine Learning in mathematics education.;Accepted;"Intelligent tutoring
Dashboard, Science inquiry, Mathematizing";Tutoría Inteligente
